count	cutoff	tprate	fprate	case	penal	gene	method
0	0.0	1.0	1.0	refaln	zero	rho	paml
0	0.01	0.892561983471	0.276923076923	refaln	zero	rho	paml
0	0.02	0.859504132231	0.215384615385	refaln	zero	rho	paml
0	0.03	0.818181818182	0.181538461538	refaln	zero	rho	paml
0	0.04	0.793388429752	0.144615384615	refaln	zero	rho	paml
0	0.05	0.776859504132	0.123076923077	refaln	zero	rho	paml
0	0.06	0.760330578512	0.107692307692	refaln	zero	rho	paml
0	0.07	0.743801652893	0.101538461538	refaln	zero	rho	paml
0	0.08	0.702479338843	0.0923076923077	refaln	zero	rho	paml
0	0.09	0.702479338843	0.0892307692308	refaln	zero	rho	paml
0	0.1	0.685950413223	0.0861538461538	refaln	zero	rho	paml
0	0.11	0.677685950413	0.08	refaln	zero	rho	paml
0	0.12	0.661157024793	0.0769230769231	refaln	zero	rho	paml
0	0.13	0.644628099174	0.0707692307692	refaln	zero	rho	paml
0	0.14	0.636363636364	0.0676923076923	refaln	zero	rho	paml
0	0.15	0.628099173554	0.0646153846154	refaln	zero	rho	paml
0	0.16	0.603305785124	0.0338461538462	refaln	zero	rho	paml
0	0.17	0.603305785124	0.0338461538462	refaln	zero	rho	paml
0	0.18	0.595041322314	0.0338461538462	refaln	zero	rho	paml
0	0.19	0.595041322314	0.0338461538462	refaln	zero	rho	paml
0	0.2	0.595041322314	0.0338461538462	refaln	zero	rho	paml
0	0.21	0.595041322314	0.0338461538462	refaln	zero	rho	paml
0	0.22	0.578512396694	0.0307692307692	refaln	zero	rho	paml
0	0.23	0.578512396694	0.0276923076923	refaln	zero	rho	paml
0	0.24	0.561983471074	0.0215384615385	refaln	zero	rho	paml
0	0.25	0.561983471074	0.0184615384615	refaln	zero	rho	paml
0	0.26	0.561983471074	0.0184615384615	refaln	zero	rho	paml
0	0.27	0.561983471074	0.0153846153846	refaln	zero	rho	paml
0	0.28	0.545454545455	0.0153846153846	refaln	zero	rho	paml
0	0.29	0.545454545455	0.0153846153846	refaln	zero	rho	paml
0	0.3	0.545454545455	0.0153846153846	refaln	zero	rho	paml
0	0.31	0.537190082645	0.0153846153846	refaln	zero	rho	paml
0	0.32	0.528925619835	0.0153846153846	refaln	zero	rho	paml
0	0.33	0.520661157025	0.0153846153846	refaln	zero	rho	paml
0	0.34	0.512396694215	0.0153846153846	refaln	zero	rho	paml
0	0.35	0.504132231405	0.0153846153846	refaln	zero	rho	paml
0	0.36	0.487603305785	0.0153846153846	refaln	zero	rho	paml
0	0.37	0.487603305785	0.0123076923077	refaln	zero	rho	paml
0	0.38	0.487603305785	0.0123076923077	refaln	zero	rho	paml
0	0.39	0.487603305785	0.0123076923077	refaln	zero	rho	paml
0	0.4	0.479338842975	0.0123076923077	refaln	zero	rho	paml
0	0.41	0.462809917355	0.0123076923077	refaln	zero	rho	paml
0	0.42	0.454545454545	0.0123076923077	refaln	zero	rho	paml
0	0.43	0.454545454545	0.0123076923077	refaln	zero	rho	paml
0	0.44	0.454545454545	0.0123076923077	refaln	zero	rho	paml
0	0.45	0.454545454545	0.0123076923077	refaln	zero	rho	paml
0	0.46	0.438016528926	0.0123076923077	refaln	zero	rho	paml
0	0.47	0.429752066116	0.0123076923077	refaln	zero	rho	paml
0	0.48	0.429752066116	0.0123076923077	refaln	zero	rho	paml
0	0.49	0.429752066116	0.0123076923077	refaln	zero	rho	paml
0	0.5	0.421487603306	0.0123076923077	refaln	zero	rho	paml
0	0.51	0.421487603306	0.0123076923077	refaln	zero	rho	paml
0	0.52	0.421487603306	0.0123076923077	refaln	zero	rho	paml
0	0.53	0.421487603306	0.0123076923077	refaln	zero	rho	paml
0	0.54	0.421487603306	0.0123076923077	refaln	zero	rho	paml
0	0.55	0.421487603306	0.0123076923077	refaln	zero	rho	paml
0	0.56	0.413223140496	0.0123076923077	refaln	zero	rho	paml
0	0.57	0.413223140496	0.0123076923077	refaln	zero	rho	paml
0	0.58	0.396694214876	0.0123076923077	refaln	zero	rho	paml
0	0.59	0.396694214876	0.0123076923077	refaln	zero	rho	paml
0	0.6	0.396694214876	0.0123076923077	refaln	zero	rho	paml
0	0.61	0.396694214876	0.0123076923077	refaln	zero	rho	paml
0	0.62	0.388429752066	0.0123076923077	refaln	zero	rho	paml
0	0.63	0.371900826446	0.0123076923077	refaln	zero	rho	paml
0	0.64	0.371900826446	0.0123076923077	refaln	zero	rho	paml
0	0.65	0.371900826446	0.0123076923077	refaln	zero	rho	paml
0	0.66	0.363636363636	0.0123076923077	refaln	zero	rho	paml
0	0.67	0.363636363636	0.0123076923077	refaln	zero	rho	paml
0	0.68	0.363636363636	0.00923076923077	refaln	zero	rho	paml
0	0.69	0.363636363636	0.00923076923077	refaln	zero	rho	paml
0	0.7	0.355371900826	0.00923076923077	refaln	zero	rho	paml
0	0.71	0.347107438017	0.00923076923077	refaln	zero	rho	paml
0	0.72	0.347107438017	0.00923076923077	refaln	zero	rho	paml
0	0.73	0.330578512397	0.00923076923077	refaln	zero	rho	paml
0	0.74	0.330578512397	0.00923076923077	refaln	zero	rho	paml
0	0.75	0.330578512397	0.00923076923077	refaln	zero	rho	paml
0	0.76	0.330578512397	0.00923076923077	refaln	zero	rho	paml
0	0.77	0.330578512397	0.00615384615385	refaln	zero	rho	paml
0	0.78	0.330578512397	0.00615384615385	refaln	zero	rho	paml
0	0.79	0.314049586777	0.00615384615385	refaln	zero	rho	paml
0	0.8	0.314049586777	0.00615384615385	refaln	zero	rho	paml
0	0.81	0.314049586777	0.00615384615385	refaln	zero	rho	paml
0	0.82	0.314049586777	0.00615384615385	refaln	zero	rho	paml
0	0.83	0.314049586777	0.00615384615385	refaln	zero	rho	paml
0	0.84	0.314049586777	0.00615384615385	refaln	zero	rho	paml
0	0.85	0.314049586777	0.00307692307692	refaln	zero	rho	paml
0	0.86	0.314049586777	0.00307692307692	refaln	zero	rho	paml
0	0.87	0.305785123967	0.00307692307692	refaln	zero	rho	paml
0	0.88	0.305785123967	0.00307692307692	refaln	zero	rho	paml
0	0.89	0.272727272727	0.00307692307692	refaln	zero	rho	paml
0	0.9	0.264462809917	0.00307692307692	refaln	zero	rho	paml
0	0.91	0.264462809917	0.00307692307692	refaln	zero	rho	paml
0	0.92	0.247933884298	0.00307692307692	refaln	zero	rho	paml
0	0.93	0.231404958678	0.00307692307692	refaln	zero	rho	paml
0	0.94	0.223140495868	0.0	refaln	zero	rho	paml
0	0.95	0.214876033058	0.0	refaln	zero	rho	paml
0	0.96	0.214876033058	0.0	refaln	zero	rho	paml
0	0.97	0.173553719008	0.0	refaln	zero	rho	paml
0	0.98	0.157024793388	0.0	refaln	zero	rho	paml
0	0.99	0.132231404959	0.0	refaln	zero	rho	paml
0	1.0	0.0	0.0	refaln	zero	rho	paml
0	0.0	1.0	1.0	Guidance	no	rho	paml
0	0.01	0.876033057851	0.236923076923	Guidance	no	rho	paml
0	0.02	0.826446280992	0.196923076923	Guidance	no	rho	paml
0	0.03	0.801652892562	0.16	Guidance	no	rho	paml
0	0.04	0.768595041322	0.123076923077	Guidance	no	rho	paml
0	0.05	0.760330578512	0.104615384615	Guidance	no	rho	paml
0	0.06	0.743801652893	0.0984615384615	Guidance	no	rho	paml
0	0.07	0.710743801653	0.0861538461538	Guidance	no	rho	paml
0	0.08	0.694214876033	0.0830769230769	Guidance	no	rho	paml
0	0.09	0.677685950413	0.0769230769231	Guidance	no	rho	paml
0	0.1	0.677685950413	0.0738461538462	Guidance	no	rho	paml
0	0.11	0.644628099174	0.0646153846154	Guidance	no	rho	paml
0	0.12	0.644628099174	0.0646153846154	Guidance	no	rho	paml
0	0.13	0.628099173554	0.0615384615385	Guidance	no	rho	paml
0	0.14	0.628099173554	0.0584615384615	Guidance	no	rho	paml
0	0.15	0.628099173554	0.0553846153846	Guidance	no	rho	paml
0	0.16	0.595041322314	0.0307692307692	Guidance	no	rho	paml
0	0.17	0.595041322314	0.0307692307692	Guidance	no	rho	paml
0	0.18	0.595041322314	0.0307692307692	Guidance	no	rho	paml
0	0.19	0.595041322314	0.0276923076923	Guidance	no	rho	paml
0	0.2	0.578512396694	0.0276923076923	Guidance	no	rho	paml
0	0.21	0.570247933884	0.0276923076923	Guidance	no	rho	paml
0	0.22	0.570247933884	0.0215384615385	Guidance	no	rho	paml
0	0.23	0.561983471074	0.0184615384615	Guidance	no	rho	paml
0	0.24	0.561983471074	0.0184615384615	Guidance	no	rho	paml
0	0.25	0.561983471074	0.0184615384615	Guidance	no	rho	paml
0	0.26	0.561983471074	0.0184615384615	Guidance	no	rho	paml
0	0.27	0.545454545455	0.0153846153846	Guidance	no	rho	paml
0	0.28	0.545454545455	0.0153846153846	Guidance	no	rho	paml
0	0.29	0.537190082645	0.0153846153846	Guidance	no	rho	paml
0	0.3	0.537190082645	0.0153846153846	Guidance	no	rho	paml
0	0.31	0.528925619835	0.0153846153846	Guidance	no	rho	paml
0	0.32	0.512396694215	0.0153846153846	Guidance	no	rho	paml
0	0.33	0.512396694215	0.0153846153846	Guidance	no	rho	paml
0	0.34	0.504132231405	0.0153846153846	Guidance	no	rho	paml
0	0.35	0.495867768595	0.0153846153846	Guidance	no	rho	paml
0	0.36	0.487603305785	0.0123076923077	Guidance	no	rho	paml
0	0.37	0.487603305785	0.0123076923077	Guidance	no	rho	paml
0	0.38	0.487603305785	0.0123076923077	Guidance	no	rho	paml
0	0.39	0.487603305785	0.0123076923077	Guidance	no	rho	paml
0	0.4	0.479338842975	0.0123076923077	Guidance	no	rho	paml
0	0.41	0.462809917355	0.0123076923077	Guidance	no	rho	paml
0	0.42	0.454545454545	0.0123076923077	Guidance	no	rho	paml
0	0.43	0.454545454545	0.0123076923077	Guidance	no	rho	paml
0	0.44	0.454545454545	0.0123076923077	Guidance	no	rho	paml
0	0.45	0.454545454545	0.0123076923077	Guidance	no	rho	paml
0	0.46	0.429752066116	0.0123076923077	Guidance	no	rho	paml
0	0.47	0.429752066116	0.0123076923077	Guidance	no	rho	paml
0	0.48	0.429752066116	0.0123076923077	Guidance	no	rho	paml
0	0.49	0.429752066116	0.0123076923077	Guidance	no	rho	paml
0	0.5	0.429752066116	0.0123076923077	Guidance	no	rho	paml
0	0.51	0.421487603306	0.0123076923077	Guidance	no	rho	paml
0	0.52	0.421487603306	0.0123076923077	Guidance	no	rho	paml
0	0.53	0.421487603306	0.0123076923077	Guidance	no	rho	paml
0	0.54	0.421487603306	0.0123076923077	Guidance	no	rho	paml
0	0.55	0.421487603306	0.0123076923077	Guidance	no	rho	paml
0	0.56	0.421487603306	0.0123076923077	Guidance	no	rho	paml
0	0.57	0.413223140496	0.0123076923077	Guidance	no	rho	paml
0	0.58	0.404958677686	0.0123076923077	Guidance	no	rho	paml
0	0.59	0.396694214876	0.0123076923077	Guidance	no	rho	paml
0	0.6	0.396694214876	0.0123076923077	Guidance	no	rho	paml
0	0.61	0.396694214876	0.0123076923077	Guidance	no	rho	paml
0	0.62	0.396694214876	0.0123076923077	Guidance	no	rho	paml
0	0.63	0.388429752066	0.0123076923077	Guidance	no	rho	paml
0	0.64	0.371900826446	0.0123076923077	Guidance	no	rho	paml
0	0.65	0.371900826446	0.0123076923077	Guidance	no	rho	paml
0	0.66	0.371900826446	0.0123076923077	Guidance	no	rho	paml
0	0.67	0.363636363636	0.0123076923077	Guidance	no	rho	paml
0	0.68	0.363636363636	0.0123076923077	Guidance	no	rho	paml
0	0.69	0.363636363636	0.00923076923077	Guidance	no	rho	paml
0	0.7	0.363636363636	0.00923076923077	Guidance	no	rho	paml
0	0.71	0.363636363636	0.00923076923077	Guidance	no	rho	paml
0	0.72	0.355371900826	0.00923076923077	Guidance	no	rho	paml
0	0.73	0.347107438017	0.00923076923077	Guidance	no	rho	paml
0	0.74	0.338842975207	0.00923076923077	Guidance	no	rho	paml
0	0.75	0.330578512397	0.00923076923077	Guidance	no	rho	paml
0	0.76	0.330578512397	0.00923076923077	Guidance	no	rho	paml
0	0.77	0.330578512397	0.00923076923077	Guidance	no	rho	paml
0	0.78	0.330578512397	0.00615384615385	Guidance	no	rho	paml
0	0.79	0.330578512397	0.00615384615385	Guidance	no	rho	paml
0	0.8	0.322314049587	0.00615384615385	Guidance	no	rho	paml
0	0.81	0.314049586777	0.00615384615385	Guidance	no	rho	paml
0	0.82	0.314049586777	0.00615384615385	Guidance	no	rho	paml
0	0.83	0.314049586777	0.00615384615385	Guidance	no	rho	paml
0	0.84	0.314049586777	0.00615384615385	Guidance	no	rho	paml
0	0.85	0.314049586777	0.00615384615385	Guidance	no	rho	paml
0	0.86	0.314049586777	0.00307692307692	Guidance	no	rho	paml
0	0.87	0.314049586777	0.00307692307692	Guidance	no	rho	paml
0	0.88	0.314049586777	0.00307692307692	Guidance	no	rho	paml
0	0.89	0.305785123967	0.00307692307692	Guidance	no	rho	paml
0	0.9	0.272727272727	0.00307692307692	Guidance	no	rho	paml
0	0.91	0.264462809917	0.00307692307692	Guidance	no	rho	paml
0	0.92	0.264462809917	0.00307692307692	Guidance	no	rho	paml
0	0.93	0.239669421488	0.00307692307692	Guidance	no	rho	paml
0	0.94	0.223140495868	0.00307692307692	Guidance	no	rho	paml
0	0.95	0.223140495868	0.0	Guidance	no	rho	paml
0	0.96	0.214876033058	0.0	Guidance	no	rho	paml
0	0.97	0.190082644628	0.0	Guidance	no	rho	paml
0	0.98	0.165289256198	0.0	Guidance	no	rho	paml
0	0.99	0.140495867769	0.0	Guidance	no	rho	paml
0	1.0	0.0	0.0	Guidance	no	rho	paml
0	0.0	1.0	1.0	GuidanceP	yes	rho	paml
0	0.01	0.876033057851	0.236923076923	GuidanceP	yes	rho	paml
0	0.02	0.826446280992	0.196923076923	GuidanceP	yes	rho	paml
0	0.03	0.801652892562	0.156923076923	GuidanceP	yes	rho	paml
0	0.04	0.768595041322	0.12	GuidanceP	yes	rho	paml
0	0.05	0.752066115702	0.104615384615	GuidanceP	yes	rho	paml
0	0.06	0.743801652893	0.0953846153846	GuidanceP	yes	rho	paml
0	0.07	0.710743801653	0.0861538461538	GuidanceP	yes	rho	paml
0	0.08	0.702479338843	0.0830769230769	GuidanceP	yes	rho	paml
0	0.09	0.694214876033	0.0769230769231	GuidanceP	yes	rho	paml
0	0.1	0.694214876033	0.0769230769231	GuidanceP	yes	rho	paml
0	0.11	0.661157024793	0.0676923076923	GuidanceP	yes	rho	paml
0	0.12	0.661157024793	0.0676923076923	GuidanceP	yes	rho	paml
0	0.13	0.644628099174	0.0646153846154	GuidanceP	yes	rho	paml
0	0.14	0.644628099174	0.0615384615385	GuidanceP	yes	rho	paml
0	0.15	0.644628099174	0.0584615384615	GuidanceP	yes	rho	paml
0	0.16	0.595041322314	0.0307692307692	GuidanceP	yes	rho	paml
0	0.17	0.595041322314	0.0307692307692	GuidanceP	yes	rho	paml
0	0.18	0.595041322314	0.0307692307692	GuidanceP	yes	rho	paml
0	0.19	0.595041322314	0.0276923076923	GuidanceP	yes	rho	paml
0	0.2	0.578512396694	0.0276923076923	GuidanceP	yes	rho	paml
0	0.21	0.570247933884	0.0276923076923	GuidanceP	yes	rho	paml
0	0.22	0.570247933884	0.0215384615385	GuidanceP	yes	rho	paml
0	0.23	0.561983471074	0.0184615384615	GuidanceP	yes	rho	paml
0	0.24	0.561983471074	0.0184615384615	GuidanceP	yes	rho	paml
0	0.25	0.561983471074	0.0184615384615	GuidanceP	yes	rho	paml
0	0.26	0.561983471074	0.0184615384615	GuidanceP	yes	rho	paml
0	0.27	0.545454545455	0.0153846153846	GuidanceP	yes	rho	paml
0	0.28	0.545454545455	0.0153846153846	GuidanceP	yes	rho	paml
0	0.29	0.537190082645	0.0153846153846	GuidanceP	yes	rho	paml
0	0.3	0.537190082645	0.0153846153846	GuidanceP	yes	rho	paml
0	0.31	0.528925619835	0.0153846153846	GuidanceP	yes	rho	paml
0	0.32	0.528925619835	0.0153846153846	GuidanceP	yes	rho	paml
0	0.33	0.512396694215	0.0153846153846	GuidanceP	yes	rho	paml
0	0.34	0.504132231405	0.0153846153846	GuidanceP	yes	rho	paml
0	0.35	0.504132231405	0.0153846153846	GuidanceP	yes	rho	paml
0	0.36	0.487603305785	0.0123076923077	GuidanceP	yes	rho	paml
0	0.37	0.487603305785	0.0123076923077	GuidanceP	yes	rho	paml
0	0.38	0.487603305785	0.0123076923077	GuidanceP	yes	rho	paml
0	0.39	0.487603305785	0.0123076923077	GuidanceP	yes	rho	paml
0	0.4	0.487603305785	0.0123076923077	GuidanceP	yes	rho	paml
0	0.41	0.462809917355	0.0123076923077	GuidanceP	yes	rho	paml
0	0.42	0.454545454545	0.0123076923077	GuidanceP	yes	rho	paml
0	0.43	0.454545454545	0.0123076923077	GuidanceP	yes	rho	paml
0	0.44	0.454545454545	0.0123076923077	GuidanceP	yes	rho	paml
0	0.45	0.454545454545	0.0123076923077	GuidanceP	yes	rho	paml
0	0.46	0.429752066116	0.0123076923077	GuidanceP	yes	rho	paml
0	0.47	0.429752066116	0.0123076923077	GuidanceP	yes	rho	paml
0	0.48	0.429752066116	0.0123076923077	GuidanceP	yes	rho	paml
0	0.49	0.429752066116	0.0123076923077	GuidanceP	yes	rho	paml
0	0.5	0.429752066116	0.0123076923077	GuidanceP	yes	rho	paml
0	0.51	0.421487603306	0.0123076923077	GuidanceP	yes	rho	paml
0	0.52	0.421487603306	0.0123076923077	GuidanceP	yes	rho	paml
0	0.53	0.421487603306	0.0123076923077	GuidanceP	yes	rho	paml
0	0.54	0.421487603306	0.0123076923077	GuidanceP	yes	rho	paml
0	0.55	0.421487603306	0.0123076923077	GuidanceP	yes	rho	paml
0	0.56	0.421487603306	0.0123076923077	GuidanceP	yes	rho	paml
0	0.57	0.413223140496	0.0123076923077	GuidanceP	yes	rho	paml
