count	cutoff	tprate	fprate	tnrate	fnrate	case	base	gene	aligner	method	mask
0	0.0	1.0	1.0	0.0	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.01	1.0	0.969696969697	0.030303030303	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.02	1.0	0.939393939394	0.0606060606061	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.03	1.0	0.878787878788	0.121212121212	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.04	1.0	0.829201101928	0.170798898072	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.05	1.0	0.812672176309	0.187327823691	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.06	1.0	0.754820936639	0.245179063361	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.07	1.0	0.699724517906	0.300275482094	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.08	1.0	0.6391184573	0.3608815427	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.09	1.0	0.603305785124	0.396694214876	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.1	1.0	0.595041322314	0.404958677686	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.11	1.0	0.586776859504	0.413223140496	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.12	1.0	0.573002754821	0.426997245179	0.0	refaln	seqs_real	rho	linsi	fubar	azero
0	0.13	0.954545454545	0.564738292011	0.435261707989	0.0454545454545	refaln	seqs_real	rho	linsi	fubar	azero
0	0.14	0.954545454545	0.559228650138	0.440771349862	0.0454545454545	refaln	seqs_real	rho	linsi	fubar	azero
0	0.15	0.954545454545	0.559228650138	0.440771349862	0.0454545454545	refaln	seqs_real	rho	linsi	fubar	azero
0	0.16	0.909090909091	0.528925619835	0.471074380165	0.0909090909091	refaln	seqs_real	rho	linsi	fubar	azero
0	0.17	0.909090909091	0.509641873278	0.490358126722	0.0909090909091	refaln	seqs_real	rho	linsi	fubar	azero
0	0.18	0.909090909091	0.482093663912	0.517906336088	0.0909090909091	refaln	seqs_real	rho	linsi	fubar	azero
0	0.19	0.909090909091	0.446280991736	0.553719008264	0.0909090909091	refaln	seqs_real	rho	linsi	fubar	azero
0	0.2	0.909090909091	0.402203856749	0.597796143251	0.0909090909091	refaln	seqs_real	rho	linsi	fubar	azero
0	0.21	0.909090909091	0.358126721763	0.641873278237	0.0909090909091	refaln	seqs_real	rho	linsi	fubar	azero
0	0.22	0.909090909091	0.31955922865	0.68044077135	0.0909090909091	refaln	seqs_real	rho	linsi	fubar	azero
0	0.23	0.909090909091	0.300275482094	0.699724517906	0.0909090909091	refaln	seqs_real	rho	linsi	fubar	azero
0	0.24	0.909090909091	0.280991735537	0.719008264463	0.0909090909091	refaln	seqs_real	rho	linsi	fubar	azero
0	0.25	0.863636363636	0.272727272727	0.727272727273	0.136363636364	refaln	seqs_real	rho	linsi	fubar	azero
0	0.26	0.863636363636	0.264462809917	0.735537190083	0.136363636364	refaln	seqs_real	rho	linsi	fubar	azero
0	0.27	0.863636363636	0.256198347107	0.743801652893	0.136363636364	refaln	seqs_real	rho	linsi	fubar	azero
0	0.28	0.863636363636	0.253443526171	0.746556473829	0.136363636364	refaln	seqs_real	rho	linsi	fubar	azero
0	0.29	0.818181818182	0.253443526171	0.746556473829	0.181818181818	refaln	seqs_real	rho	linsi	fubar	azero
0	0.3	0.818181818182	0.245179063361	0.754820936639	0.181818181818	refaln	seqs_real	rho	linsi	fubar	azero
0	0.31	0.818181818182	0.245179063361	0.754820936639	0.181818181818	refaln	seqs_real	rho	linsi	fubar	azero
0	0.32	0.818181818182	0.245179063361	0.754820936639	0.181818181818	refaln	seqs_real	rho	linsi	fubar	azero
0	0.33	0.818181818182	0.245179063361	0.754820936639	0.181818181818	refaln	seqs_real	rho	linsi	fubar	azero
0	0.34	0.818181818182	0.239669421488	0.760330578512	0.181818181818	refaln	seqs_real	rho	linsi	fubar	azero
0	0.35	0.818181818182	0.225895316804	0.774104683196	0.181818181818	refaln	seqs_real	rho	linsi	fubar	azero
0	0.36	0.818181818182	0.214876033058	0.785123966942	0.181818181818	refaln	seqs_real	rho	linsi	fubar	azero
0	0.37	0.818181818182	0.209366391185	0.790633608815	0.181818181818	refaln	seqs_real	rho	linsi	fubar	azero
