count	tprate	fprate	tnrate	fnrate	accuracy	taxamasked	percentmasked	percentgaps	case	gene	aligner	method	penal
0	0.576923076923	0.0112359550562	0.988764044944	0.423076923077	0.960732984293	0	0.0	0.478894307256	arefaln	flat	linsi	fubar	azero
0	0.538461538462	0.0112359550562	0.988764044944	0.461538461538	0.958115183246	73	0.00590685095157	0.478894307256	guidance	flat	linsi	fubar	no
0	0.538461538462	0.0112359550562	0.988764044944	0.461538461538	0.958115183246	71	0.00559159767044	0.478894307256	BMweights	flat	linsi	fubar	no
0	0.538461538462	0.0112359550562	0.988764044944	0.461538461538	0.958115183246	74	0.00605618145315	0.478894307256	PDweights	flat	linsi	fubar	no
0	0.576923076923	0.0112359550562	0.988764044944	0.423076923077	0.960732984293	131	0.0125603544111	0.478894307256	guidance_p	flat	linsi	fubar	yes
0	0.538461538462	0.0112359550562	0.988764044944	0.461538461538	0.958115183246	131	0.0125603544111	0.478894307256	BMweights_p	flat	linsi	fubar	yes
0	0.576923076923	0.0112359550562	0.988764044944	0.423076923077	0.960732984293	131	0.0125603544111	0.478894307256	PDweights_p	flat	linsi	fubar	yes
1	0.522727272727	0.0170454545455	0.982954545455	0.477272727273	0.931818181818	0	0.0	0.493979227524	arefaln	flat	linsi	fubar	azero
1	0.522727272727	0.0198863636364	0.980113636364	0.477272727273	0.929292929293	59	0.00503511753953	0.493979227524	guidance	flat	linsi	fubar	no
1	0.522727272727	0.0198863636364	0.980113636364	0.477272727273	0.929292929293	59	0.00489079888394	0.493979227524	BMweights	flat	linsi	fubar	no
1	0.522727272727	0.0198863636364	0.980113636364	0.477272727273	0.929292929293	59	0.005259613226	0.493979227524	PDweights	flat	linsi	fubar	no
1	0.568181818182	0.0198863636364	0.980113636364	0.431818181818	0.934343434343	102	0.0114492800103	0.493979227524	guidance_p	flat	linsi	fubar	yes
1	0.522727272727	0.0198863636364	0.980113636364	0.477272727273	0.929292929293	102	0.0114492800103	0.493979227524	BMweights_p	flat	linsi	fubar	yes
1	0.522727272727	0.0198863636364	0.980113636364	0.477272727273	0.929292929293	102	0.0114492800103	0.493979227524	PDweights_p	flat	linsi	fubar	yes
2	0.407407407407	0.0223463687151	0.977653631285	0.592592592593	0.937662337662	0	0.0	0.448853917208	arefaln	flat	linsi	fubar	azero
2	0.407407407407	0.0223463687151	0.977653631285	0.592592592593	0.937662337662	117	0.00679538697769	0.448853917208	guidance	flat	linsi	fubar	no
2	0.407407407407	0.0223463687151	0.977653631285	0.592592592593	0.937662337662	117	0.00664837139403	0.448853917208	BMweights	flat	linsi	fubar	no
2	0.407407407407	0.0251396648045	0.974860335196	0.592592592593	0.935064935065	124	0.00713842333954	0.448853917208	PDweights	flat	linsi	fubar	no
2	0.407407407407	0.0223463687151	0.977653631285	0.592592592593	0.937662337662	142	0.0195694076905	0.448853917208	guidance_p	flat	linsi	fubar	yes
2	0.407407407407	0.0223463687151	0.977653631285	0.592592592593	0.937662337662	148	0.0208435427489	0.448853917208	BMweights_p	flat	linsi	fubar	yes
2	0.407407407407	0.0223463687151	0.977653631285	0.592592592593	0.937662337662	148	0.0208435427489	0.448853917208	PDweights_p	flat	linsi	fubar	yes
3	0.548387096774	0.00773195876289	0.992268041237	0.451612903226	0.959427207637	0	0.0	0.492078900365	arefaln	flat	linsi	fubar	azero
3	0.548387096774	0.00773195876289	0.992268041237	0.451612903226	0.959427207637	67	0.00544300894427	0.492078900365	guidance	flat	linsi	fubar	no
3	0.516129032258	0.00773195876289	0.992268041237	0.483870967742	0.957040572792	64	0.00512193257396	0.492078900365	BMweights	flat	linsi	fubar	no
3	0.516129032258	0.00773195876289	0.992268041237	0.483870967742	0.957040572792	79	0.00600871493005	0.492078900365	PDweights	flat	linsi	fubar	no
3	0.516129032258	0.00773195876289	0.992268041237	0.483870967742	0.957040572792	148	0.0136381010626	0.492078900365	guidance_p	flat	linsi	fubar	yes
3	0.516129032258	0.00773195876289	0.992268041237	0.483870967742	0.957040572792	145	0.0114823025763	0.492078900365	BMweights_p	flat	linsi	fubar	yes
3	0.483870967742	0.00773195876289	0.992268041237	0.516129032258	0.954653937947	147	0.0136228117116	0.492078900365	PDweights_p	flat	linsi	fubar	yes
4	0.647058823529	0.00560224089636	0.994397759104	0.352941176471	0.964194373402	0	0.0	0.555623174294	arefaln	flat	linsi	fubar	azero
4	0.647058823529	0.00560224089636	0.994397759104	0.352941176471	0.964194373402	100	0.00729856445454	0.555623174294	guidance	flat	linsi	fubar	no
4	0.647058823529	0.00560224089636	0.994397759104	0.352941176471	0.964194373402	94	0.00704077851354	0.555623174294	BMweights	flat	linsi	fubar	no
4	0.647058823529	0.00560224089636	0.994397759104	0.352941176471	0.964194373402	106	0.00786247120048	0.555623174294	PDweights	flat	linsi	fubar	no
4	0.647058823529	0.00560224089636	0.994397759104	0.352941176471	0.964194373402	138	0.0182222437044	0.555623174294	guidance_p	flat	linsi	fubar	yes
4	0.647058823529	0.00560224089636	0.994397759104	0.352941176471	0.964194373402	138	0.0182061320831	0.555623174294	BMweights_p	flat	linsi	fubar	yes
4	0.647058823529	0.00560224089636	0.994397759104	0.352941176471	0.964194373402	138	0.0182866901896	0.555623174294	PDweights_p	flat	linsi	fubar	yes
5	0.470588235294	0.00252525252525	0.997474747475	0.529411764706	0.955813953488	0	0.0	0.490348477104	arefaln	flat	linsi	fubar	azero
5	0.441176470588	0.00252525252525	0.997474747475	0.558823529412	0.953488372093	73	0.00581103802248	0.490348477104	guidance	flat	linsi	fubar	no
5	0.441176470588	0.00252525252525	0.997474747475	0.558823529412	0.953488372093	70	0.00551606147311	0.490348477104	BMweights	flat	linsi	fubar	no
5	0.441176470588	0.00252525252525	0.997474747475	0.558823529412	0.953488372093	87	0.00632724698386	0.490348477104	PDweights	flat	linsi	fubar	no
5	0.441176470588	0.00252525252525	0.997474747475	0.558823529412	0.953488372093	143	0.0150290551901	0.490348477104	guidance_p	flat	linsi	fubar	yes
5	0.441176470588	0.00252525252525	0.997474747475	0.558823529412	0.953488372093	143	0.0150290551901	0.490348477104	BMweights_p	flat	linsi	fubar	yes
5	0.411764705882	0.00252525252525	0.997474747475	0.588235294118	0.951162790698	143	0.0150290551901	0.490348477104	PDweights_p	flat	linsi	fubar	yes
6	0.454545454545	0.0143266475645	0.985673352436	0.545454545455	0.939790575916	0	0.0	0.497705281994	arefaln	flat	linsi	fubar	azero
6	0.484848484848	0.0143266475645	0.985673352436	0.515151515152	0.942408376963	62	0.00544258077285	0.497705281994	guidance	flat	linsi	fubar	no
6	0.484848484848	0.0143266475645	0.985673352436	0.515151515152	0.942408376963	60	0.00512922006168	0.497705281994	BMweights	flat	linsi	fubar	no
6	0.484848484848	0.0143266475645	0.985673352436	0.515151515152	0.942408376963	62	0.0055415367869	0.497705281994	PDweights	flat	linsi	fubar	no
6	0.484848484848	0.0143266475645	0.985673352436	0.515151515152	0.942408376963	119	0.0181089505715	0.497705281994	guidance_p	flat	linsi	fubar	yes
6	0.484848484848	0.0143266475645	0.985673352436	0.515151515152	0.942408376963	119	0.0181089505715	0.497705281994	BMweights_p	flat	linsi	fubar	yes
6	0.484848484848	0.0143266475645	0.985673352436	0.515151515152	0.942408376963	119	0.0181089505715	0.497705281994	PDweights_p	flat	linsi	fubar	yes
7	0.571428571429	0.00524934383202	0.994750656168	0.428571428571	0.965770171149	0	0.0	0.529842342342	arefaln	flat	linsi	fubar	azero
7	0.535714285714	0.00524934383202	0.994750656168	0.464285714286	0.963325183374	102	0.00723110740544	0.529842342342	guidance	flat	linsi	fubar	no
7	0.571428571429	0.00524934383202	0.994750656168	0.428571428571	0.965770171149	102	0.00676116122186	0.529842342342	BMweights	flat	linsi	fubar	no
7	0.571428571429	0.00524934383202	0.994750656168	0.428571428571	0.965770171149	102	0.00789812779504	0.529842342342	PDweights	flat	linsi	fubar	no
7	0.571428571429	0.00524934383202	0.994750656168	0.428571428571	0.965770171149	143	0.0468430228151	0.529842342342	guidance_p	flat	linsi	fubar	yes
7	0.571428571429	0.00524934383202	0.994750656168	0.428571428571	0.965770171149	143	0.0551201394679	0.529842342342	BMweights_p	flat	linsi	fubar	yes
7	0.571428571429	0.00524934383202	0.994750656168	0.428571428571	0.965770171149	158	0.0572121579626	0.529842342342	PDweights_p	flat	linsi	fubar	yes
8	0.46875	0.00757575757576	0.992424242424	0.53125	0.953271028037	0	0.0	0.522417945558	arefaln	flat	linsi	fubar	azero
8	0.5	0.00757575757576	0.992424242424	0.5	0.955607476636	80	0.00661154601695	0.522417945558	guidance	flat	linsi	fubar	no
8	0.5	0.00757575757576	0.992424242424	0.5	0.955607476636	79	0.0062890315771	0.522417945558	BMweights	flat	linsi	fubar	no
8	0.5	0.00757575757576	0.992424242424	0.5	0.955607476636	82	0.0068021227314	0.522417945558	PDweights	flat	linsi	fubar	no
8	0.5	0.00757575757576	0.992424242424	0.5	0.955607476636	150	0.0268713167385	0.522417945558	guidance_p	flat	linsi	fubar	yes
8	0.5	0.00757575757576	0.992424242424	0.5	0.955607476636	150	0.0268713167385	0.522417945558	BMweights_p	flat	linsi	fubar	yes
8	0.53125	0.00757575757576	0.992424242424	0.46875	0.957943925234	150	0.0268713167385	0.522417945558	PDweights_p	flat	linsi	fubar	yes
9	0.5	0.00791556728232	0.992084432718	0.5	0.962779156328	0	0.0	0.56618425212	arefaln	flat	linsi	fubar	azero
9	0.416666666667	0.00527704485488	0.994722955145	0.583333333333	0.960297766749	89	0.00752439488024	0.56618425212	guidance	flat	linsi	fubar	no
9	0.416666666667	0.00527704485488	0.994722955145	0.583333333333	0.960297766749	92	0.00744519072361	0.56618425212	BMweights	flat	linsi	fubar	no
9	0.416666666667	0.00527704485488	0.994722955145	0.583333333333	0.960297766749	112	0.00822139145862	0.56618425212	PDweights	flat	linsi	fubar	no
9	0.416666666667	0.00527704485488	0.994722955145	0.583333333333	0.960297766749	134	0.0158091496642	0.56618425212	guidance_p	flat	linsi	fubar	yes
9	0.5	0.00527704485488	0.994722955145	0.5	0.965260545906	139	0.018565454315	0.56618425212	BMweights_p	flat	linsi	fubar	yes
9	0.416666666667	0.00527704485488	0.994722955145	0.583333333333	0.960297766749	152	0.0190089975922	0.56618425212	PDweights_p	flat	linsi	fubar	yes
10	0.53125	0.0027397260274	0.997260273973	0.46875	0.959697732997	0	0.0	0.490772055271	arefaln	flat	linsi	fubar	azero
10	0.5625	0.0027397260274	0.997260273973	0.4375	0.962216624685	59	0.0058981657179	0.490772055271	guidance	flat	linsi	fubar	no
10	0.5625	0.0027397260274	0.997260273973	0.4375	0.962216624685	69	0.0052972802024	0.490772055271	BMweights	flat	linsi	fubar	no
10	0.5625	0.0027397260274	0.997260273973	0.4375	0.962216624685	80	0.00648323845667	0.490772055271	PDweights	flat	linsi	fubar	no
10	0.5625	0.0027397260274	0.997260273973	0.4375	0.962216624685	112	0.0188013915244	0.490772055271	guidance_p	flat	linsi	fubar	yes
10	0.5625	0.0027397260274	0.997260273973	0.4375	0.962216624685	112	0.0188013915244	0.490772055271	BMweights_p	flat	linsi	fubar	yes
10	0.5625	0.0027397260274	0.997260273973	0.4375	0.962216624685	112	0.0188013915244	0.490772055271	PDweights_p	flat	linsi	fubar	yes
11	0.486486486486	0.0056657223796	0.99433427762	0.513513513514	0.946153846154	0	0.0	0.45049285537	arefaln	flat	linsi	fubar	azero
11	0.540540540541	0.0056657223796	0.99433427762	0.459459459459	0.951282051282	78	0.00454904744237	0.45049285537	guidance	flat	linsi	fubar	no
11	0.540540540541	0.0056657223796	0.99433427762	0.459459459459	0.951282051282	76	0.00416189446855	0.45049285537	BMweights	flat	linsi	fubar	no
11	0.540540540541	0.0056657223796	0.99433427762	0.459459459459	0.951282051282	81	0.0047748866771	0.45049285537	PDweights	flat	linsi	fubar	no
11	0.540540540541	0.0056657223796	0.99433427762	0.459459459459	0.951282051282	143	0.016679840622	0.45049285537	guidance_p	flat	linsi	fubar	yes
11	0.540540540541	0.0056657223796	0.99433427762	0.459459459459	0.951282051282	143	0.0166637092481	0.45049285537	BMweights_p	flat	linsi	fubar	yes
11	0.540540540541	0.0056657223796	0.99433427762	0.459459459459	0.951282051282	143	0.0167121033698	0.45049285537	PDweights_p	flat	linsi	fubar	yes
12	0.542857142857	0.00797872340426	0.992021276596	0.457142857143	0.953771289538	0	0.0	0.50956937799	arefaln	flat	linsi	fubar	azero
12	0.628571428571	0.00531914893617	0.994680851064	0.371428571429	0.963503649635	76	0.00585057116394	0.50956937799	guidance	flat	linsi	fubar	no
12	0.628571428571	0.00797872340426	0.992021276596	0.371428571429	0.961070559611	73	0.00555727076258	0.50956937799	BMweights	flat	linsi	fubar	no
12	0.657142857143	0.00797872340426	0.992021276596	0.342857142857	0.963503649635	80	0.00632911392405	0.50956937799	PDweights	flat	linsi	fubar	no
12	0.657142857143	0.00797872340426	0.992021276596	0.342857142857	0.963503649635	109	0.0146650200679	0.50956937799	guidance_p	flat	linsi	fubar	yes
12	0.628571428571	0.00797872340426	0.992021276596	0.371428571429	0.961070559611	109	0.0146650200679	0.50956937799	BMweights_p	flat	linsi	fubar	yes
12	0.6	0.00531914893617	0.994680851064	0.4	0.961070559611	109	0.0146650200679	0.50956937799	PDweights_p	flat	linsi	fubar	yes
13	0.6	0.00275482093664	0.997245179063	0.4	0.966921119593	0	0.0	0.475344415637	arefaln	flat	linsi	fubar	azero
13	0.6	0.00275482093664	0.997245179063	0.4	0.966921119593	53	0.00458634110104	0.475344415637	guidance	flat	linsi	fubar	no
13	0.6	0.00275482093664	0.997245179063	0.4	0.966921119593	50	0.0042310611566	0.475344415637	BMweights	flat	linsi	fubar	no
13	0.6	0.00275482093664	0.997245179063	0.4	0.966921119593	58	0.00505466466418	0.475344415637	PDweights	flat	linsi	fubar	no
13	0.6	0.00275482093664	0.997245179063	0.4	0.966921119593	136	0.0142757941314	0.475344415637	guidance_p	flat	linsi	fubar	yes
13	0.6	0.00275482093664	0.997245179063	0.4	0.966921119593	154	0.0195726951214	0.475344415637	BMweights_p	flat	linsi	fubar	yes
13	0.633333333333	0.00275482093664	0.997245179063	0.366666666667	0.969465648855	154	0.0195726951214	0.475344415637	PDweights_p	flat	linsi	fubar	yes
14	0.583333333333	0.0186666666667	0.981333333333	0.416666666667	0.946472019465	0	0.0	0.53244588681	arefaln	flat	linsi	fubar	azero
14	0.583333333333	0.0186666666667	0.981333333333	0.416666666667	0.946472019465	61	0.0067055073101	0.53244588681	guidance	flat	linsi	fubar	no
14	0.583333333333	0.0186666666667	0.981333333333	0.416666666667	0.946472019465	63	0.00661128472495	0.53244588681	BMweights	flat	linsi	fubar	no
14	0.583333333333	0.0186666666667	0.981333333333	0.416666666667	0.946472019465	66	0.0069096562446	0.53244588681	PDweights	flat	linsi	fubar	no
14	0.583333333333	0.0186666666667	0.981333333333	0.416666666667	0.946472019465	127	0.0178394761224	0.53244588681	guidance_p	flat	linsi	fubar	yes
14	0.583333333333	0.0186666666667	0.981333333333	0.416666666667	0.946472019465	130	0.0179808100002	0.53244588681	BMweights_p	flat	linsi	fubar	yes
14	0.583333333333	0.0186666666667	0.981333333333	0.416666666667	0.946472019465	127	0.0180122175285	0.53244588681	PDweights_p	flat	linsi	fubar	yes
15	0.410256410256	0.00864553314121	0.991354466859	0.589743589744	0.932642487047	0	0.0	0.512234153211	arefaln	flat	linsi	fubar	azero
15	0.461538461538	0.0115273775216	0.988472622478	0.538461538462	0.935233160622	67	0.00693897637795	0.512234153211	guidance	flat	linsi	fubar	no
15	0.435897435897	0.0115273775216	0.988472622478	0.564102564103	0.932642487047	69	0.0067749343832	0.512234153211	BMweights	flat	linsi	fubar	no
