"count"	"tprate"	"fprate"	"tnrate"	"fnrate"	"accuracy"	"taxamasked"	"percentmasked"	"percentgaps"	"case"	"gene"	"aligner"	"method"	"penal"	"tp_to_fp"
"1"	0	0.0714285714286	0.00789473684211	0.992105263158	0.928571428571	0.928921568627	0	0	0.142317142317	"arefaln"	"or5"	"linsi"	"pamlM8"	"azero"	9.04761904761724
"2"	0	0.0714285714286	0.00789473684211	0.992105263158	0.928571428571	0.928921568627	9	0.0121198765976	0.142317142317	"guidance"	"or5"	"linsi"	"pamlM8"	"no"	9.04761904761724
"3"	0	0.0714285714286	0.00789473684211	0.992105263158	0.928571428571	0.928921568627	9	0.0121198765976	0.142317142317	"BMweights"	"or5"	"linsi"	"pamlM8"	"no"	9.04761904761724
"4"	0	0.0714285714286	0.00526315789474	0.994736842105	0.928571428571	0.93137254902	10	0.0127809607757	0.142317142317	"PDweights"	"or5"	"linsi"	"pamlM8"	"no"	13.5714285714259
"5"	0	0.0714285714286	0.00789473684211	0.992105263158	0.928571428571	0.928921568627	11	0.0226972234465	0.142317142317	"guidance_p"	"or5"	"linsi"	"pamlM8"	"yes"	9.04761904761724
"6"	0	0.0714285714286	0.00789473684211	0.992105263158	0.928571428571	0.928921568627	11	0.0226972234465	0.142317142317	"BMweights_p"	"or5"	"linsi"	"pamlM8"	"yes"	9.04761904761724
"7"	0	0.0714285714286	0.00526315789474	0.994736842105	0.928571428571	0.93137254902	11	0.0235786690172	0.142317142317	"PDweights_p"	"or5"	"linsi"	"pamlM8"	"yes"	13.5714285714259
"8"	1	0.4	0.00490196078431	0.995098039216	0.6	0.967289719626	0	0	0.161778101658	"arefaln"	"or5"	"linsi"	"pamlM8"	"azero"	81.600000000062
"9"	1	0.4	0.00490196078431	0.995098039216	0.6	0.967289719626	5	0.013910019561	0.161778101658	"guidance"	"or5"	"linsi"	"pamlM8"	"no"	81.600000000062
"10"	1	0.4	0.00490196078431	0.995098039216	0.6	0.967289719626	5	0.013910019561	0.161778101658	"BMweights"	"or5"	"linsi"	"pamlM8"	"no"	81.600000000062
"11"	1	0.4	0.00490196078431	0.995098039216	0.6	0.967289719626	5	0.013910019561	0.161778101658	"PDweights"	"or5"	"linsi"	"pamlM8"	"no"	81.600000000062
"12"	1	0.4	0.00490196078431	0.995098039216	0.6	0.967289719626	10	0.0204303412302	0.161778101658	"guidance_p"	"or5"	"linsi"	"pamlM8"	"yes"	81.600000000062
"13"	1	0.4	0.00490196078431	0.995098039216	0.6	0.967289719626	10	0.0204303412302	0.161778101658	"BMweights_p"	"or5"	"linsi"	"pamlM8"	"yes"	81.600000000062
"14"	1	0.4	0.00490196078431	0.995098039216	0.6	0.967289719626	11	0.024777222343	0.161778101658	"PDweights_p"	"or5"	"linsi"	"pamlM8"	"yes"	81.600000000062
"15"	2	0.28125	0.00259067357513	0.997409326425	0.71875	0.942583732057	0	0	0.182711198428	"arefaln"	"or5"	"linsi"	"pamlM8"	"azero"	108.56249999998
"16"	2	0.28125	0.00259067357513	0.997409326425	0.71875	0.942583732057	7	0.0163898601399	0.182711198428	"guidance"	"or5"	"linsi"	"pamlM8"	"no"	108.56249999998
"17"	2	0.28125	0.00259067357513	0.997409326425	0.71875	0.942583732057	7	0.0163898601399	0.182711198428	"BMweights"	"or5"	"linsi"	"pamlM8"	"no"	108.56249999998
"18"	2	0.28125	0.00259067357513	0.997409326425	0.71875	0.942583732057	7	0.0163898601399	0.182711198428	"PDweights"	"or5"	"linsi"	"pamlM8"	"no"	108.56249999998
"19"	2	0.28125	0.00259067357513	0.997409326425	0.71875	0.942583732057	10	0.0281905594406	0.182711198428	"guidance_p"	"or5"	"linsi"	"pamlM8"	"yes"	108.56249999998
"20"	2	0.28125	0.00259067357513	0.997409326425	0.71875	0.942583732057	10	0.0281905594406	0.182711198428	"BMweights_p"	"or5"	"linsi"	"pamlM8"	"yes"	108.56249999998
