count	tp	fp	tn	fn	case	gene
0	0	0	399	30	truealn	or5
0	0	0	399	30	refaln	or5
0	0	0	399	30	Guidance	or5
0	0	0	399	30	GuidanceP	or5
0	0	0	399	30	BMweights	or5
0	0	0	399	30	PDweights	or5
0	0	0	399	30	BMweightsP	or5
0	0	0	399	30	PDweightsP	or5
1	3	0	435	19	truealn	or5
1	3	0	435	19	refaln	or5
1	3	0	435	19	Guidance	or5
1	3	0	435	19	GuidanceP	or5
1	3	0	435	19	BMweights	or5
1	3	0	435	19	PDweights	or5
1	3	0	435	19	BMweightsP	or5
1	3	0	435	19	PDweightsP	or5
2	5	0	431	30	truealn	or5
2	5	0	431	30	refaln	or5
2	5	0	431	30	Guidance	or5
2	5	0	431	30	GuidanceP	or5
2	5	0	431	30	BMweights	or5
2	5	0	431	30	PDweights	or5
2	5	0	431	30	BMweightsP	or5
2	5	0	431	30	PDweightsP	or5
3	3	0	380	28	truealn	or5
3	3	0	380	28	refaln	or5
3	3	0	380	28	Guidance	or5
3	3	0	380	28	GuidanceP	or5
3	3	0	380	28	BMweights	or5
3	3	0	380	28	PDweights	or5
3	3	0	380	28	BMweightsP	or5
3	3	0	380	28	PDweightsP	or5
4	1	0	373	27	truealn	or5
4	1	0	373	27	refaln	or5
4	1	0	373	27	Guidance	or5
4	1	0	373	27	GuidanceP	or5
4	1	0	373	27	BMweights	or5
4	1	0	373	27	PDweights	or5
4	1	0	373	27	BMweightsP	or5
4	1	0	373	27	PDweightsP	or5
5	2	0	394	33	truealn	or5
5	2	0	394	33	refaln	or5
5	2	0	394	33	Guidance	or5
5	2	0	394	33	GuidanceP	or5
5	2	0	394	33	BMweights	or5
5	2	0	394	33	PDweights	or5
5	2	0	394	33	BMweightsP	or5
5	2	0	394	33	PDweightsP	or5
6	5	0	377	36	truealn	or5
6	6	0	377	35	refaln	or5
6	6	0	377	35	Guidance	or5
6	5	0	377	36	GuidanceP	or5
6	6	0	377	35	BMweights	or5
6	6	0	377	35	PDweights	or5
6	5	0	377	36	BMweightsP	or5
6	5	0	377	36	PDweightsP	or5
7	3	0	389	30	truealn	or5
7	3	0	389	30	refaln	or5
7	3	0	389	30	Guidance	or5
7	3	0	389	30	GuidanceP	or5
7	3	0	389	30	BMweights	or5
7	3	0	389	30	PDweights	or5
7	3	0	389	30	BMweightsP	or5
7	3	0	389	30	PDweightsP	or5
8	2	0	392	33	truealn	or5
8	2	0	392	33	refaln	or5
8	2	0	392	33	Guidance	or5
8	2	0	392	33	GuidanceP	or5
8	2	0	392	33	BMweights	or5
8	2	0	392	33	PDweights	or5
8	2	0	392	33	BMweightsP	or5
8	2	0	392	33	PDweightsP	or5
9	3	0	373	36	truealn	or5
9	3	0	373	36	refaln	or5
9	3	0	373	36	Guidance	or5
9	3	0	373	36	GuidanceP	or5
9	3	0	373	36	BMweights	or5
9	3	0	373	36	PDweights	or5
9	3	0	373	36	BMweightsP	or5
9	3	0	373	36	PDweightsP	or5
10	3	0	391	46	truealn	or5
10	3	0	391	46	refaln	or5
10	3	0	391	46	Guidance	or5
10	3	0	391	46	GuidanceP	or5
10	3	0	391	46	BMweights	or5
10	3	0	391	46	PDweights	or5
10	3	0	391	46	BMweightsP	or5
10	3	0	391	46	PDweightsP	or5
11	6	0	393	18	truealn	or5
11	4	0	393	20	refaln	or5
11	4	0	393	20	Guidance	or5
11	5	0	393	19	GuidanceP	or5
11	4	0	393	20	BMweights	or5
11	5	0	393	19	PDweights	or5
11	5	0	393	19	BMweightsP	or5
11	5	0	393	19	PDweightsP	or5
12	2	1	408	32	truealn	or5
12	2	1	408	32	refaln	or5
12	2	1	408	32	Guidance	or5
12	2	1	408	32	GuidanceP	or5
12	2	1	408	32	BMweights	or5
12	2	1	408	32	PDweights	or5
12	2	1	408	32	BMweightsP	or5
12	2	1	408	32	PDweightsP	or5
13	3	0	379	24	truealn	or5
13	3	1	378	24	refaln	or5
13	3	1	378	24	Guidance	or5
13	3	1	378	24	GuidanceP	or5
13	3	1	378	24	BMweights	or5
13	3	1	378	24	PDweights	or5
13	3	1	378	24	BMweightsP	or5
13	3	1	378	24	PDweightsP	or5
14	5	0	379	22	truealn	or5
14	5	0	379	22	refaln	or5
14	5	0	379	22	Guidance	or5
14	5	0	379	22	GuidanceP	or5
14	5	0	379	22	BMweights	or5
14	5	0	379	22	PDweights	or5
14	5	0	379	22	BMweightsP	or5
14	5	0	379	22	PDweightsP	or5
15	1	0	381	21	truealn	or5
15	2	0	381	20	refaln	or5
15	2	0	381	20	Guidance	or5
15	2	0	381	20	GuidanceP	or5
15	2	0	381	20	BMweights	or5
15	2	0	381	20	PDweights	or5
15	2	0	381	20	BMweightsP	or5
15	2	0	381	20	PDweightsP	or5
16	4	0	398	26	truealn	or5
16	4	0	398	26	refaln	or5
16	4	0	398	26	Guidance	or5
16	4	0	398	26	GuidanceP	or5
16	4	0	398	26	BMweights	or5
16	4	0	398	26	PDweights	or5
16	4	0	398	26	BMweightsP	or5
16	4	0	398	26	PDweightsP	or5
17	3	0	387	38	truealn	or5
17	3	0	387	38	refaln	or5
17	3	0	387	38	Guidance	or5
17	3	0	387	38	GuidanceP	or5
17	3	0	387	38	BMweights	or5
17	3	0	387	38	PDweights	or5
17	3	0	387	38	BMweightsP	or5
17	3	0	387	38	PDweightsP	or5
18	1	0	378	33	truealn	or5
18	1	0	378	33	refaln	or5
18	1	0	378	33	Guidance	or5
18	1	0	378	33	GuidanceP	or5
18	1	0	378	33	BMweights	or5
18	1	0	378	33	PDweights	or5
18	1	0	378	33	BMweightsP	or5
18	1	0	378	33	PDweightsP	or5
19	3	0	367	38	truealn	or5
19	3	0	367	38	refaln	or5
19	3	0	367	38	Guidance	or5
19	5	0	367	36	GuidanceP	or5
19	3	0	367	38	BMweights	or5
19	3	0	367	38	PDweights	or5
19	5	0	367	36	BMweightsP	or5
19	5	0	367	36	PDweightsP	or5
20	0	0	382	35	truealn	or5
20	0	0	382	35	refaln	or5
20	0	0	382	35	Guidance	or5
20	0	0	382	35	GuidanceP	or5
20	0	0	382	35	BMweights	or5
20	0	0	382	35	PDweights	or5
20	0	0	382	35	BMweightsP	or5
20	0	0	382	35	PDweightsP	or5
21	4	0	397	28	truealn	or5
21	3	0	397	29	refaln	or5
21	3	0	397	29	Guidance	or5
21	4	0	397	28	GuidanceP	or5
21	3	0	397	29	BMweights	or5
21	3	0	397	29	PDweights	or5
21	4	0	397	28	BMweightsP	or5
21	4	0	397	28	PDweightsP	or5
22	3	0	408	26	truealn	or5
22	2	0	408	27	refaln	or5
22	2	0	408	27	Guidance	or5
22	2	0	408	27	GuidanceP	or5
22	2	0	408	27	BMweights	or5
22	2	0	408	27	PDweights	or5
22	2	0	408	27	BMweightsP	or5
22	1	0	408	28	PDweightsP	or5
23	3	0	376	41	truealn	or5
23	3	0	376	41	refaln	or5
23	3	0	376	41	Guidance	or5
23	3	0	376	41	GuidanceP	or5
23	3	0	376	41	BMweights	or5
23	3	0	376	41	PDweights	or5
23	3	0	376	41	BMweightsP	or5
23	3	0	376	41	PDweightsP	or5
24	0	0	388	33	truealn	or5
24	0	0	388	33	refaln	or5
24	0	0	388	33	Guidance	or5
24	0	0	388	33	GuidanceP	or5
24	0	0	388	33	BMweights	or5
24	0	0	388	33	PDweights	or5
24	0	0	388	33	BMweightsP	or5
24	0	0	388	33	PDweightsP	or5
25	0	0	403	37	truealn	or5
25	0	0	403	37	refaln	or5
25	0	0	403	37	Guidance	or5
25	0	0	403	37	GuidanceP	or5
25	0	0	403	37	BMweights	or5
25	0	0	403	37	PDweights	or5
25	0	0	403	37	BMweightsP	or5
25	0	0	403	37	PDweightsP	or5
26	5	0	383	30	truealn	or5
