count	tp	fp	tn	fn	case	gene
0	11	0	285	107	truealn	or5
0	11	0	285	107	refaln	or5
0	10	0	285	108	Guidance	or5
0	10	0	285	108	GuidanceP	or5
0	10	0	285	108	BMweights	or5
0	10	0	285	108	PDweights	or5
0	10	0	285	108	BMweightsP	or5
0	10	0	285	108	PDweightsP	or5
1	11	0	307	102	truealn	or5
1	12	0	307	101	refaln	or5
1	12	0	307	101	Guidance	or5
1	12	0	307	101	GuidanceP	or5
1	12	0	307	101	BMweights	or5
1	12	0	307	101	PDweights	or5
1	12	0	307	101	BMweightsP	or5
1	12	0	307	101	PDweightsP	or5
2	9	0	288	103	truealn	or5
2	9	0	288	103	refaln	or5
2	9	0	288	103	Guidance	or5
2	8	0	288	104	GuidanceP	or5
2	9	0	288	103	BMweights	or5
2	9	0	288	103	PDweights	or5
2	8	0	288	104	BMweightsP	or5
2	8	0	288	104	PDweightsP	or5
3	10	0	314	87	truealn	or5
3	10	0	314	87	refaln	or5
3	10	0	314	87	Guidance	or5
3	10	0	314	87	GuidanceP	or5
3	10	0	314	87	BMweights	or5
3	10	0	314	87	PDweights	or5
3	10	0	314	87	BMweightsP	or5
3	10	0	314	87	PDweightsP	or5
4	9	0	297	119	truealn	or5
4	6	1	296	122	refaln	or5
4	6	1	296	122	Guidance	or5
4	6	1	296	122	GuidanceP	or5
4	6	1	296	122	BMweights	or5
4	6	1	296	122	PDweights	or5
4	6	1	296	122	BMweightsP	or5
4	6	1	296	122	PDweightsP	or5
5	11	0	283	107	truealn	or5
5	10	0	283	108	refaln	or5
5	10	0	283	108	Guidance	or5
5	10	0	283	108	GuidanceP	or5
5	10	0	283	108	BMweights	or5
5	11	0	283	107	PDweights	or5
5	10	0	283	108	BMweightsP	or5
5	11	0	283	107	PDweightsP	or5
6	3	0	302	118	truealn	or5
6	2	0	302	119	refaln	or5
6	2	0	302	119	Guidance	or5
6	2	0	302	119	GuidanceP	or5
6	2	0	302	119	BMweights	or5
6	2	0	302	119	PDweights	or5
6	2	0	302	119	BMweightsP	or5
6	2	0	302	119	PDweightsP	or5
7	10	0	308	108	truealn	or5
7	10	0	308	108	refaln	or5
7	10	0	308	108	Guidance	or5
7	10	0	308	108	GuidanceP	or5
7	10	0	308	108	BMweights	or5
7	10	0	308	108	PDweights	or5
7	10	0	308	108	BMweightsP	or5
7	9	0	308	109	PDweightsP	or5
8	4	0	308	120	truealn	or5
8	3	0	308	121	refaln	or5
8	3	0	308	121	Guidance	or5
8	3	0	308	121	GuidanceP	or5
8	3	0	308	121	BMweights	or5
8	3	0	308	121	PDweights	or5
8	3	0	308	121	BMweightsP	or5
8	3	0	308	121	PDweightsP	or5
9	4	0	291	122	truealn	or5
9	3	0	291	123	refaln	or5
9	3	0	291	123	Guidance	or5
9	3	0	291	123	GuidanceP	or5
9	3	0	291	123	BMweights	or5
9	3	0	291	123	PDweights	or5
9	3	0	291	123	BMweightsP	or5
9	3	0	291	123	PDweightsP	or5
10	7	0	305	111	truealn	or5
10	5	1	304	113	refaln	or5
10	5	1	304	113	Guidance	or5
10	5	1	304	113	GuidanceP	or5
10	5	1	304	113	BMweights	or5
10	5	1	304	113	PDweights	or5
10	5	1	304	113	BMweightsP	or5
10	5	1	304	113	PDweightsP	or5
11	6	0	349	105	truealn	or5
11	5	0	349	106	refaln	or5
11	5	0	349	106	Guidance	or5
11	5	0	349	106	GuidanceP	or5
11	4	0	349	107	BMweights	or5
11	5	0	349	106	PDweights	or5
11	5	0	349	106	BMweightsP	or5
11	4	0	349	107	PDweightsP	or5
12	6	0	314	105	truealn	or5
12	4	0	314	107	refaln	or5
12	4	0	314	107	Guidance	or5
12	5	0	314	106	GuidanceP	or5
12	4	0	314	107	BMweights	or5
12	4	0	314	107	PDweights	or5
12	5	0	314	106	BMweightsP	or5
12	5	0	314	106	PDweightsP	or5
13	4	0	315	106	truealn	or5
13	4	0	315	106	refaln	or5
13	4	0	315	106	Guidance	or5
13	4	0	315	106	GuidanceP	or5
13	4	0	315	106	BMweights	or5
13	4	0	315	106	PDweights	or5
13	4	0	315	106	BMweightsP	or5
13	4	0	315	106	PDweightsP	or5
14	7	0	320	85	truealn	or5
14	5	1	319	87	refaln	or5
14	4	0	320	88	Guidance	or5
14	5	0	320	87	GuidanceP	or5
14	5	1	319	87	BMweights	or5
14	4	0	320	88	PDweights	or5
14	5	0	320	87	BMweightsP	or5
14	5	0	320	87	PDweightsP	or5
15	6	0	292	106	truealn	or5
15	6	2	290	106	refaln	or5
15	6	1	291	106	Guidance	or5
15	6	0	292	106	GuidanceP	or5
15	6	1	291	106	BMweights	or5
15	6	1	291	106	PDweights	or5
15	6	0	292	106	BMweightsP	or5
15	6	0	292	106	PDweightsP	or5
16	5	0	300	112	truealn	or5
16	5	0	300	112	refaln	or5
16	5	0	300	112	Guidance	or5
16	5	0	300	112	GuidanceP	or5
16	5	0	300	112	BMweights	or5
16	5	0	300	112	PDweights	or5
16	5	0	300	112	BMweightsP	or5
16	5	0	300	112	PDweightsP	or5
17	10	0	303	100	truealn	or5
17	10	1	302	100	refaln	or5
17	10	1	302	100	Guidance	or5
17	10	1	302	100	GuidanceP	or5
17	10	1	302	100	BMweights	or5
17	10	1	302	100	PDweights	or5
17	10	1	302	100	BMweightsP	or5
17	10	1	302	100	PDweightsP	or5
18	7	0	310	106	truealn	or5
18	6	0	310	107	refaln	or5
18	6	0	310	107	Guidance	or5
18	6	0	310	107	GuidanceP	or5
18	7	0	310	106	BMweights	or5
18	6	0	310	107	PDweights	or5
18	6	0	310	107	BMweightsP	or5
18	6	0	310	107	PDweightsP	or5
19	7	0	311	112	truealn	or5
19	7	0	311	112	refaln	or5
19	7	0	311	112	Guidance	or5
19	7	0	311	112	GuidanceP	or5
19	7	0	311	112	BMweights	or5
19	7	0	311	112	PDweights	or5
19	7	0	311	112	BMweightsP	or5
19	7	0	311	112	PDweightsP	or5
20	9	0	325	72	truealn	or5
20	8	1	324	73	refaln	or5
20	8	0	325	73	Guidance	or5
20	8	0	325	73	GuidanceP	or5
20	8	0	325	73	BMweights	or5
20	8	0	325	73	PDweights	or5
20	8	0	325	73	BMweightsP	or5
20	9	0	325	72	PDweightsP	or5
21	9	0	298	103	truealn	or5
21	9	0	298	103	refaln	or5
21	8	0	298	104	Guidance	or5
21	8	0	298	104	GuidanceP	or5
21	8	0	298	104	BMweights	or5
21	8	0	298	104	PDweights	or5
21	8	0	298	104	BMweightsP	or5
21	8	0	298	104	PDweightsP	or5
22	11	0	280	116	truealn	or5
22	7	1	279	120	refaln	or5
22	7	1	279	120	Guidance	or5
22	7	1	279	120	GuidanceP	or5
22	7	1	279	120	BMweights	or5
22	7	1	279	120	PDweights	or5
22	7	1	279	120	BMweightsP	or5
22	7	1	279	120	PDweightsP	or5
23	4	0	311	96	truealn	or5
23	5	0	311	95	refaln	or5
23	4	0	311	96	Guidance	or5
23	4	0	311	96	GuidanceP	or5
23	4	0	311	96	BMweights	or5
23	4	0	311	96	PDweights	or5
23	4	0	311	96	BMweightsP	or5
23	4	0	311	96	PDweightsP	or5
24	12	0	328	99	truealn	or5
24	12	0	328	99	refaln	or5
24	12	0	328	99	Guidance	or5
24	12	0	328	99	GuidanceP	or5
24	12	0	328	99	BMweights	or5
24	12	0	328	99	PDweights	or5
24	12	1	327	99	BMweightsP	or5
24	11	1	327	100	PDweightsP	or5
25	7	0	328	113	truealn	or5
25	6	0	328	114	refaln	or5
25	6	0	328	114	Guidance	or5
25	7	0	328	113	GuidanceP	or5
25	6	0	328	114	BMweights	or5
25	6	0	328	114	PDweights	or5
25	6	0	328	114	BMweightsP	or5
25	6	0	328	114	PDweightsP	or5
26	9	1	307	89	truealn	or5
26	10	2	306	88	refaln	or5
26	10	2	306	88	Guidance	or5
26	9	2	306	89	GuidanceP	or5
26	10	2	306	88	BMweights	or5
26	10	2	306	88	PDweights	or5
26	9	2	306	89	BMweightsP	or5
26	9	2	306	89	PDweightsP	or5
27	6	0	313	115	truealn	or5
27	7	1	312	114	refaln	or5
27	7	0	313	114	Guidance	or5
27	7	0	313	114	GuidanceP	or5
27	7	0	313	114	BMweights	or5
27	7	0	313	114	PDweights	or5
27	7	0	313	114	BMweightsP	or5
27	7	0	313	114	PDweightsP	or5
28	4	0	285	111	truealn	or5
28	4	0	285	111	refaln	or5
28	4	0	285	111	Guidance	or5
28	4	0	285	111	GuidanceP	or5
28	4	0	285	111	BMweights	or5
28	4	0	285	111	PDweights	or5
28	4	0	285	111	BMweightsP	or5
28	4	0	285	111	PDweightsP	or5
29	6	1	274	114	truealn	or5
29	6	1	274	114	refaln	or5
29	6	1	274	114	Guidance	or5
29	6	1	274	114	GuidanceP	or5
29	6	1	274	114	BMweights	or5
29	6	1	274	114	PDweights	or5
29	6	1	274	114	BMweightsP	or5
29	6	1	274	114	PDweightsP	or5
30	10	0	277	122	truealn	or5
30	11	0	277	121	refaln	or5
30	9	0	277	123	Guidance	or5
30	9	0	277	123	GuidanceP	or5
30	9	0	277	123	BMweights	or5
30	9	0	277	123	PDweights	or5
30	9	0	277	123	BMweightsP	or5
30	9	0	277	123	PDweightsP	or5
31	7	0	298	104	truealn	or5
31	6	0	298	105	refaln	or5
31	6	0	298	105	Guidance	or5
31	6	0	298	105	GuidanceP	or5
31	6	0	298	105	BMweights	or5
31	7	0	298	104	PDweights	or5
31	6	0	298	105	BMweightsP	or5
31	6	0	298	105	PDweightsP	or5
32	5	0	303	124	truealn	or5
32	3	0	303	126	refaln	or5
32	4	0	303	125	Guidance	or5
32	5	0	303	124	GuidanceP	or5
32	5	0	303	124	BMweights	or5
32	4	0	303	125	PDweights	or5
32	5	0	303	124	BMweightsP	or5
32	4	0	303	125	PDweightsP	or5
33	4	0	307	96	truealn	or5
33	3	0	307	97	refaln	or5
33	4	0	307	96	Guidance	or5
33	2	0	307	98	GuidanceP	or5
33	4	0	307	96	BMweights	or5
33	4	0	307	96	PDweights	or5
33	3	0	307	97	BMweightsP	or5
33	3	0	307	97	PDweightsP	or5
34	3	0	293	103	truealn	or5
34	4	1	292	102	refaln	or5
34	4	0	293	102	Guidance	or5
34	4	0	293	102	GuidanceP	or5
34	4	1	292	102	BMweights	or5
34	4	0	293	102	PDweights	or5
34	4	1	292	102	BMweightsP	or5
34	4	0	293	102	PDweightsP	or5
35	4	0	318	99	truealn	or5
35	4	0	318	99	refaln	or5
35	4	0	318	99	Guidance	or5
35	4	0	318	99	GuidanceP	or5
35	4	0	318	99	BMweights	or5
35	4	0	318	99	PDweights	or5
35	4	0	318	99	BMweightsP	or5
35	4	0	318	99	PDweightsP	or5
36	5	0	309	98	truealn	or5
36	5	0	309	98	refaln	or5
36	5	0	309	98	Guidance	or5
36	5	0	309	98	GuidanceP	or5
36	5	0	309	98	BMweights	or5
36	5	0	309	98	PDweights	or5
36	5	0	309	98	BMweightsP	or5
36	5	0	309	98	PDweightsP	or5
37	7	0	301	92	truealn	or5
37	7	0	301	92	refaln	or5
37	7	0	301	92	Guidance	or5
37	7	0	301	92	GuidanceP	or5
37	7	0	301	92	BMweights	or5
37	7	0	301	92	PDweights	or5
37	7	0	301	92	BMweightsP	or5
37	7	0	301	92	PDweightsP	or5
38	11	0	330	114	truealn	or5
38	9	1	329	116	refaln	or5
38	8	0	330	117	Guidance	or5
38	10	0	330	115	GuidanceP	or5
38	8	0	330	117	BMweights	or5
38	9	0	330	116	PDweights	or5
38	10	0	330	115	BMweightsP	or5
38	11	0	330	114	PDweightsP	or5
39	5	1	297	111	truealn	or5
39	4	1	297	112	refaln	or5
