count	tp	fp	tn	fn	case	gene
9	3	0	373	36	truealn	or5
9	3	0	373	36	refaln	or5
9	3	0	373	36	Guidance	or5
9	3	0	373	36	GuidanceP	or5
9	3	0	373	36	BMweights	or5
9	3	0	373	36	PDweights	or5
9	3	0	373	36	BMweightsP	or5
9	3	0	373	36	PDweightsP	or5
10	4	0	391	45	truealn	or5
10	4	0	391	45	refaln	or5
10	4	0	391	45	Guidance	or5
10	4	0	391	45	GuidanceP	or5
10	4	0	391	45	BMweights	or5
10	4	0	391	45	PDweights	or5
10	4	0	391	45	BMweightsP	or5
10	4	0	391	45	PDweightsP	or5
11	5	0	393	19	truealn	or5
11	3	0	393	21	refaln	or5
11	3	0	393	21	Guidance	or5
11	3	0	393	21	GuidanceP	or5
11	3	0	393	21	BMweights	or5
11	3	0	393	21	PDweights	or5
11	3	0	393	21	BMweightsP	or5
11	3	0	393	21	PDweightsP	or5
12	3	1	408	31	truealn	or5
12	3	1	408	31	refaln	or5
12	3	1	408	31	Guidance	or5
12	3	1	408	31	GuidanceP	or5
12	3	1	408	31	BMweights	or5
12	3	1	408	31	PDweights	or5
12	3	1	408	31	BMweightsP	or5
12	3	1	408	31	PDweightsP	or5
13	3	0	379	24	truealn	or5
13	3	1	378	24	refaln	or5
13	3	1	378	24	Guidance	or5
13	3	1	378	24	GuidanceP	or5
13	3	1	378	24	BMweights	or5
13	3	1	378	24	PDweights	or5
13	3	1	378	24	BMweightsP	or5
13	3	1	378	24	PDweightsP	or5
14	4	0	379	23	truealn	or5
14	4	0	379	23	refaln	or5
14	4	0	379	23	Guidance	or5
14	4	0	379	23	GuidanceP	or5
14	4	0	379	23	BMweights	or5
14	4	0	379	23	PDweights	or5
14	4	0	379	23	BMweightsP	or5
14	4	0	379	23	PDweightsP	or5
15	2	0	381	20	truealn	or5
15	3	1	380	19	refaln	or5
15	3	1	380	19	Guidance	or5
15	2	1	380	20	GuidanceP	or5
15	3	1	380	19	BMweights	or5
15	2	1	380	20	PDweights	or5
15	3	1	380	19	BMweightsP	or5
15	3	1	380	19	PDweightsP	or5
16	4	0	398	26	truealn	or5
16	4	0	398	26	refaln	or5
16	4	0	398	26	Guidance	or5
16	4	0	398	26	GuidanceP	or5
16	4	0	398	26	BMweights	or5
16	4	0	398	26	PDweights	or5
16	4	0	398	26	BMweightsP	or5
16	4	0	398	26	PDweightsP	or5
17	3	0	387	38	truealn	or5
17	2	0	387	39	refaln	or5
17	2	0	387	39	Guidance	or5
17	2	0	387	39	GuidanceP	or5
17	2	0	387	39	BMweights	or5
17	2	0	387	39	PDweights	or5
17	2	0	387	39	BMweightsP	or5
17	3	0	387	38	PDweightsP	or5
18	2	0	378	32	truealn	or5
18	2	0	378	32	refaln	or5
18	2	0	378	32	Guidance	or5
18	2	0	378	32	GuidanceP	or5
18	2	0	378	32	BMweights	or5
18	2	0	378	32	PDweights	or5
18	2	0	378	32	BMweightsP	or5
18	2	0	378	32	PDweightsP	or5
19	2	0	367	39	truealn	or5
19	2	0	367	39	refaln	or5
