count	tp	fp	tn	fn	case	gene
0	23	1	284	95	truealn	or5
0	25	1	284	93	refaln	or5
0	22	1	284	96	Guidance	or5
0	22	1	284	96	GuidanceP	or5
0	22	1	284	96	BMweights	or5
0	22	1	284	96	PDweights	or5
0	22	1	284	96	BMweightsP	or5
0	22	1	284	96	PDweightsP	or5
1	12	0	307	101	truealn	or5
1	13	0	307	100	refaln	or5
1	13	0	307	100	Guidance	or5
1	13	0	307	100	GuidanceP	or5
1	13	0	307	100	BMweights	or5
1	13	0	307	100	PDweights	or5
1	13	0	307	100	BMweightsP	or5
1	13	0	307	100	PDweightsP	or5
2	10	0	288	102	truealn	or5
2	8	0	288	104	refaln	or5
2	8	0	288	104	Guidance	or5
2	8	0	288	104	GuidanceP	or5
2	8	0	288	104	BMweights	or5
2	8	0	288	104	PDweights	or5
2	8	0	288	104	BMweightsP	or5
2	8	0	288	104	PDweightsP	or5
3	7	0	314	90	truealn	or5
3	7	0	314	90	refaln	or5
3	7	0	314	90	Guidance	or5
3	7	0	314	90	GuidanceP	or5
3	7	0	314	90	BMweights	or5
3	7	0	314	90	PDweights	or5
3	7	0	314	90	BMweightsP	or5
3	7	0	314	90	PDweightsP	or5
4	18	0	297	110	truealn	or5
4	15	1	296	113	refaln	or5
4	15	1	296	113	Guidance	or5
4	15	1	296	113	GuidanceP	or5
4	15	1	296	113	BMweights	or5
4	15	1	296	113	PDweights	or5
4	15	1	296	113	BMweightsP	or5
4	15	1	296	113	PDweightsP	or5
5	18	1	282	100	truealn	or5
5	18	1	282	100	refaln	or5
5	16	1	282	102	Guidance	or5
5	17	1	282	101	GuidanceP	or5
5	17	1	282	101	BMweights	or5
5	17	1	282	101	PDweights	or5
5	17	1	282	101	BMweightsP	or5
5	18	1	282	100	PDweightsP	or5
6	3	0	302	118	truealn	or5
6	3	0	302	118	refaln	or5
6	3	0	302	118	Guidance	or5
6	3	0	302	118	GuidanceP	or5
6	3	0	302	118	BMweights	or5
6	3	0	302	118	PDweights	or5
6	3	0	302	118	BMweightsP	or5
6	3	0	302	118	PDweightsP	or5
7	14	1	307	104	truealn	or5
7	14	1	307	104	refaln	or5
7	14	1	307	104	Guidance	or5
7	14	1	307	104	GuidanceP	or5
7	14	1	307	104	BMweights	or5
7	14	1	307	104	PDweights	or5
7	14	1	307	104	BMweightsP	or5
7	13	1	307	105	PDweightsP	or5
8	6	0	308	118	truealn	or5
8	6	0	308	118	refaln	or5
8	6	0	308	118	Guidance	or5
8	6	0	308	118	GuidanceP	or5
8	6	0	308	118	BMweights	or5
8	6	0	308	118	PDweights	or5
8	6	0	308	118	BMweightsP	or5
8	6	0	308	118	PDweightsP	or5
9	5	0	291	121	truealn	or5
9	4	0	291	122	refaln	or5
9	4	0	291	122	Guidance	or5
9	4	0	291	122	GuidanceP	or5
9	4	0	291	122	BMweights	or5
9	4	0	291	122	PDweights	or5
9	4	0	291	122	BMweightsP	or5
9	4	0	291	122	PDweightsP	or5
10	14	0	305	104	truealn	or5
10	13	1	304	105	refaln	or5
10	13	1	304	105	Guidance	or5
10	13	1	304	105	GuidanceP	or5
