count	cutoff	tprate	fprate	tnrate	fnrate	accuracy	case	gene	method
0	0.0	1.0	1.0	0.0	0.0	0.0614250614251	refaln	rho	fubar
0	0.01	1.0	0.53664921466	0.0	0.0	0.496314496314	refaln	rho	fubar
0	0.02	1.0	0.452879581152	0.0	0.0	0.574938574939	refaln	rho	fubar
0	0.03	1.0	0.442408376963	0.0	0.0	0.584766584767	refaln	rho	fubar
0	0.04	0.92	0.34554973822	0.08	0.08	0.670761670762	refaln	rho	fubar
0	0.05	0.92	0.264397905759	0.08	0.08	0.746928746929	refaln	rho	fubar
0	0.06	0.88	0.256544502618	0.12	0.12	0.751842751843	refaln	rho	fubar
0	0.07	0.88	0.238219895288	0.12	0.12	0.769041769042	refaln	rho	fubar
0	0.08	0.88	0.225130890052	0.12	0.12	0.781326781327	refaln	rho	fubar
0	0.09	0.88	0.214659685864	0.12	0.12	0.791154791155	refaln	rho	fubar
0	0.1	0.88	0.193717277487	0.12	0.12	0.810810810811	refaln	rho	fubar
0	0.11	0.72	0.125654450262	0.28	0.28	0.864864864865	refaln	rho	fubar
0	0.12	0.72	0.0994764397906	0.28	0.28	0.889434889435	refaln	rho	fubar
0	0.13	0.72	0.0890052356021	0.28	0.28	0.899262899263	refaln	rho	fubar
0	0.14	0.72	0.086387434555	0.28	0.28	0.90171990172	refaln	rho	fubar
0	0.15	0.72	0.0759162303665	0.28	0.28	0.911547911548	refaln	rho	fubar
0	0.16	0.72	0.0732984293194	0.28	0.28	0.914004914005	refaln	rho	fubar
0	0.17	0.72	0.0732984293194	0.28	0.28	0.914004914005	refaln	rho	fubar
0	0.18	0.72	0.0732984293194	0.28	0.28	0.914004914005	refaln	rho	fubar
0	0.19	0.72	0.0680628272251	0.28	0.28	0.918918918919	refaln	rho	fubar
0	0.2	0.68	0.0628272251309	0.32	0.32	0.921375921376	refaln	rho	fubar
0	0.21	0.64	0.0471204188482	0.36	0.36	0.933660933661	refaln	rho	fubar
0	0.22	0.56	0.0418848167539	0.44	0.44	0.933660933661	refaln	rho	fubar
0	0.23	0.56	0.0392670157068	0.44	0.44	0.936117936118	refaln	rho	fubar
0	0.24	0.56	0.0340314136126	0.44	0.44	0.941031941032	refaln	rho	fubar
0	0.25	0.56	0.0287958115183	0.44	0.44	0.945945945946	refaln	rho	fubar
0	0.26	0.56	0.0261780104712	0.44	0.44	0.948402948403	refaln	rho	fubar
0	0.27	0.56	0.0235602094241	0.44	0.44	0.95085995086	refaln	rho	fubar
0	0.28	0.56	0.0235602094241	0.44	0.44	0.95085995086	refaln	rho	fubar
0	0.29	0.56	0.0235602094241	0.44	0.44	0.95085995086	refaln	rho	fubar
0	0.3	0.56	0.0235602094241	0.44	0.44	0.95085995086	refaln	rho	fubar
0	0.31	0.56	0.0235602094241	0.44	0.44	0.95085995086	refaln	rho	fubar
0	0.32	0.56	0.0235602094241	0.44	0.44	0.95085995086	refaln	rho	fubar
0	0.33	0.56	0.020942408377	0.44	0.44	0.953316953317	refaln	rho	fubar
0	0.34	0.56	0.0183246073298	0.44	0.44	0.955773955774	refaln	rho	fubar
0	0.35	0.52	0.0183246073298	0.48	0.48	0.953316953317	refaln	rho	fubar
0	0.36	0.48	0.0183246073298	0.52	0.52	0.95085995086	refaln	rho	fubar
0	0.37	0.48	0.0157068062827	0.52	0.52	0.953316953317	refaln	rho	fubar
0	0.38	0.48	0.0130890052356	0.52	0.52	0.955773955774	refaln	rho	fubar
0	0.39	0.44	0.0130890052356	0.56	0.56	0.953316953317	refaln	rho	fubar
0	0.4	0.44	0.0104712041885	0.56	0.56	0.955773955774	refaln	rho	fubar
0	0.41	0.44	0.0104712041885	0.56	0.56	0.955773955774	refaln	rho	fubar
0	0.42	0.44	0.0104712041885	0.56	0.56	0.955773955774	refaln	rho	fubar
0	0.43	0.44	0.0104712041885	0.56	0.56	0.955773955774	refaln	rho	fubar
0	0.44	0.44	0.0104712041885	0.56	0.56	0.955773955774	refaln	rho	fubar
0	0.45	0.44	0.0104712041885	0.56	0.56	0.955773955774	refaln	rho	fubar
0	0.46	0.44	0.00785340314136	0.56	0.56	0.958230958231	refaln	rho	fubar
0	0.47	0.4	0.00785340314136	0.6	0.6	0.955773955774	refaln	rho	fubar
0	0.48	0.4	0.00785340314136	0.6	0.6	0.955773955774	refaln	rho	fubar
0	0.49	0.4	0.00523560209424	0.6	0.6	0.958230958231	refaln	rho	fubar
0	0.5	0.4	0.00523560209424	0.6	0.6	0.958230958231	refaln	rho	fubar
0	0.51	0.4	0.00523560209424	0.6	0.6	0.958230958231	refaln	rho	fubar
0	0.52	0.4	0.00523560209424	0.6	0.6	0.958230958231	refaln	rho	fubar
0	0.53	0.4	0.00523560209424	0.6	0.6	0.958230958231	refaln	rho	fubar
0	0.54	0.4	0.00523560209424	0.6	0.6	0.958230958231	refaln	rho	fubar
0	0.55	0.4	0.00523560209424	0.6	0.6	0.958230958231	refaln	rho	fubar
0	0.56	0.4	0.00523560209424	0.6	0.6	0.958230958231	refaln	rho	fubar
0	0.57	0.4	0.00523560209424	0.6	0.6	0.958230958231	refaln	rho	fubar
0	0.58	0.4	0.00523560209424	0.6	0.6	0.958230958231	refaln	rho	fubar
0	0.59	0.4	0.00523560209424	0.6	0.6	0.958230958231	refaln	rho	fubar
0	0.6	0.4	0.00523560209424	0.6	0.6	0.958230958231	refaln	rho	fubar
0	0.61	0.36	0.00523560209424	0.64	0.64	0.955773955774	refaln	rho	fubar
0	0.62	0.36	0.00523560209424	0.64	0.64	0.955773955774	refaln	rho	fubar
0	0.63	0.32	0.00523560209424	0.68	0.68	0.953316953317	refaln	rho	fubar
0	0.64	0.32	0.00523560209424	0.68	0.68	0.953316953317	refaln	rho	fubar
0	0.65	0.32	0.00523560209424	0.68	0.68	0.953316953317	refaln	rho	fubar
0	0.66	0.32	0.00523560209424	0.68	0.68	0.953316953317	refaln	rho	fubar
0	0.67	0.32	0.00523560209424	0.68	0.68	0.953316953317	refaln	rho	fubar
0	0.68	0.32	0.00261780104712	0.68	0.68	0.955773955774	refaln	rho	fubar
0	0.69	0.32	0.00261780104712	0.68	0.68	0.955773955774	refaln	rho	fubar
0	0.7	0.32	0.00261780104712	0.68	0.68	0.955773955774	refaln	rho	fubar
0	0.71	0.32	0.00261780104712	0.68	0.68	0.955773955774	refaln	rho	fubar
0	0.72	0.32	0.00261780104712	0.68	0.68	0.955773955774	refaln	rho	fubar
0	0.73	0.32	0.00261780104712	0.68	0.68	0.955773955774	refaln	rho	fubar
0	0.74	0.32	0.00261780104712	0.68	0.68	0.955773955774	refaln	rho	fubar
0	0.75	0.32	0.00261780104712	0.68	0.68	0.955773955774	refaln	rho	fubar
0	0.76	0.32	0.00261780104712	0.68	0.68	0.955773955774	refaln	rho	fubar
0	0.77	0.32	0.00261780104712	0.68	0.68	0.955773955774	refaln	rho	fubar
0	0.78	0.32	0.0	0.68	0.68	0.958230958231	refaln	rho	fubar
0	0.79	0.32	0.0	0.68	0.68	0.958230958231	refaln	rho	fubar
0	0.8	0.32	0.0	0.68	0.68	0.958230958231	refaln	rho	fubar
0	0.81	0.32	0.0	0.68	0.68	0.958230958231	refaln	rho	fubar
0	0.82	0.32	0.0	0.68	0.68	0.958230958231	refaln	rho	fubar
0	0.83	0.32	0.0	0.68	0.68	0.958230958231	refaln	rho	fubar
0	0.84	0.32	0.0	0.68	0.68	0.958230958231	refaln	rho	fubar
0	0.85	0.28	0.0	0.72	0.72	0.955773955774	refaln	rho	fubar
0	0.86	0.24	0.0	0.76	0.76	0.953316953317	refaln	rho	fubar
0	0.87	0.24	0.0	0.76	0.76	0.953316953317	refaln	rho	fubar
0	0.88	0.2	0.0	0.8	0.8	0.95085995086	refaln	rho	fubar
0	0.89	0.2	0.0	0.8	0.8	0.95085995086	refaln	rho	fubar
0	0.9	0.2	0.0	0.8	0.8	0.95085995086	refaln	rho	fubar
0	0.91	0.2	0.0	0.8	0.8	0.95085995086	refaln	rho	fubar
0	0.92	0.2	0.0	0.8	0.8	0.95085995086	refaln	rho	fubar
0	0.93	0.16	0.0	0.84	0.84	0.948402948403	refaln	rho	fubar
0	0.94	0.16	0.0	0.84	0.84	0.948402948403	refaln	rho	fubar
0	0.95	0.16	0.0	0.84	0.84	0.948402948403	refaln	rho	fubar
0	0.96	0.16	0.0	0.84	0.84	0.948402948403	refaln	rho	fubar
