count	cutoff	tprate	fprate	tnrate	fnrate	accuracy	case	gene	method
0	0.0	1.0	1.0	0.0	0.0	0.710900473934	refaln	prk	fubar
0	0.01	0.990666666667	0.288524590164	0.00933333333333	0.00933333333333	0.909952606635	refaln	prk	fubar
0	0.02	0.984	0.203278688525	0.016	0.016	0.929857819905	refaln	prk	fubar
0	0.03	0.977333333333	0.180327868852	0.0226666666667	0.0226666666667	0.931753554502	refaln	prk	fubar
0	0.04	0.962666666667	0.16393442623	0.0373333333333	0.0373333333333	0.926066350711	refaln	prk	fubar
0	0.05	0.957333333333	0.140983606557	0.0426666666667	0.0426666666667	0.928909952607	refaln	prk	fubar
0	0.06	0.949333333333	0.124590163934	0.0506666666667	0.0506666666667	0.927962085308	refaln	prk	fubar
0	0.07	0.942666666667	0.111475409836	0.0573333333333	0.0573333333333	0.927014218009	refaln	prk	fubar
0	0.08	0.936	0.108196721311	0.064	0.064	0.923222748815	refaln	prk	fubar
0	0.09	0.924	0.108196721311	0.076	0.076	0.914691943128	refaln	prk	fubar
0	0.1	0.894666666667	0.0983606557377	0.105333333333	0.105333333333	0.896682464455	refaln	prk	fubar
0	0.11	0.876	0.0918032786885	0.124	0.124	0.885308056872	refaln	prk	fubar
0	0.12	0.849333333333	0.0918032786885	0.150666666667	0.150666666667	0.8663507109	refaln	prk	fubar
0	0.13	0.832	0.0819672131148	0.168	0.168	0.856872037915	refaln	prk	fubar
0	0.14	0.804	0.0786885245902	0.196	0.196	0.837914691943	refaln	prk	fubar
0	0.15	0.778666666667	0.0786885245902	0.221333333333	0.221333333333	0.81990521327	refaln	prk	fubar
0	0.16	0.721333333333	0.0786885245902	0.278666666667	0.278666666667	0.779146919431	refaln	prk	fubar
0	0.17	0.702666666667	0.0754098360656	0.297333333333	0.297333333333	0.76682464455	refaln	prk	fubar
0	0.18	0.686666666667	0.072131147541	0.313333333333	0.313333333333	0.756398104265	refaln	prk	fubar
0	0.19	0.677333333333	0.072131147541	0.322666666667	0.322666666667	0.749763033175	refaln	prk	fubar
0	0.2	0.662666666667	0.0622950819672	0.337333333333	0.337333333333	0.742180094787	refaln	prk	fubar
0	0.21	0.66	0.0590163934426	0.34	0.34	0.741232227488	refaln	prk	fubar
0	0.22	0.213333333333	0.0590163934426	0.786666666667	0.786666666667	0.423696682464	refaln	prk	fubar
0	0.23	0.208	0.0491803278689	0.792	0.792	0.422748815166	refaln	prk	fubar
0	0.24	0.206666666667	0.0426229508197	0.793333333333	0.793333333333	0.423696682464	refaln	prk	fubar
0	0.25	0.206666666667	0.0360655737705	0.793333333333	0.793333333333	0.425592417062	refaln	prk	fubar
0	0.26	0.205333333333	0.0360655737705	0.794666666667	0.794666666667	0.424644549763	refaln	prk	fubar
0	0.27	0.204	0.0295081967213	0.796	0.796	0.425592417062	refaln	prk	fubar
0	0.28	0.201333333333	0.0295081967213	0.798666666667	0.798666666667	0.423696682464	refaln	prk	fubar
0	0.29	0.201333333333	0.0295081967213	0.798666666667	0.798666666667	0.423696682464	refaln	prk	fubar
0	0.3	0.2	0.0229508196721	0.8	0.8	0.424644549763	refaln	prk	fubar
0	0.31	0.197333333333	0.0229508196721	0.802666666667	0.802666666667	0.422748815166	refaln	prk	fubar
0	0.32	0.197333333333	0.0196721311475	0.802666666667	0.802666666667	0.423696682464	refaln	prk	fubar
0	0.33	0.196	0.0196721311475	0.804	0.804	0.422748815166	refaln	prk	fubar
0	0.34	0.193333333333	0.0196721311475	0.806666666667	0.806666666667	0.420853080569	refaln	prk	fubar
0	0.35	0.192	0.0196721311475	0.808	0.808	0.41990521327	refaln	prk	fubar
0	0.36	0.189333333333	0.0196721311475	0.810666666667	0.810666666667	0.418009478673	refaln	prk	fubar
0	0.37	0.184	0.0196721311475	0.816	0.816	0.414218009479	refaln	prk	fubar
0	0.38	0.181333333333	0.0131147540984	0.818666666667	0.818666666667	0.414218009479	refaln	prk	fubar
0	0.39	0.173333333333	0.0131147540984	0.826666666667	0.826666666667	0.408530805687	refaln	prk	fubar
0	0.4	0.170666666667	0.0131147540984	0.829333333333	0.829333333333	0.40663507109	refaln	prk	fubar
0	0.41	0.168	0.0131147540984	0.832	0.832	0.404739336493	refaln	prk	fubar
0	0.42	0.168	0.0131147540984	0.832	0.832	0.404739336493	refaln	prk	fubar
0	0.43	0.16	0.0131147540984	0.84	0.84	0.399052132701	refaln	prk	fubar
0	0.44	0.156	0.0131147540984	0.844	0.844	0.396208530806	refaln	prk	fubar
0	0.45	0.154666666667	0.0131147540984	0.845333333333	0.845333333333	0.395260663507	refaln	prk	fubar
0	0.46	0.148	0.0131147540984	0.852	0.852	0.390521327014	refaln	prk	fubar
0	0.47	0.146666666667	0.0131147540984	0.853333333333	0.853333333333	0.389573459716	refaln	prk	fubar
0	0.48	0.144	0.0131147540984	0.856	0.856	0.387677725118	refaln	prk	fubar
0	0.49	0.141333333333	0.0131147540984	0.858666666667	0.858666666667	0.385781990521	refaln	prk	fubar
0	0.5	0.138666666667	0.0131147540984	0.861333333333	0.861333333333	0.383886255924	refaln	prk	fubar
0	0.51	0.138666666667	0.0131147540984	0.861333333333	0.861333333333	0.383886255924	refaln	prk	fubar
0	0.52	0.137333333333	0.0131147540984	0.862666666667	0.862666666667	0.382938388626	refaln	prk	fubar
0	0.53	0.130666666667	0.0131147540984	0.869333333333	0.869333333333	0.378199052133	refaln	prk	fubar
0	0.54	0.125333333333	0.0131147540984	0.874666666667	0.874666666667	0.374407582938	refaln	prk	fubar
0	0.55	0.122666666667	0.0131147540984	0.877333333333	0.877333333333	0.372511848341	refaln	prk	fubar
0	0.56	0.12	0.0131147540984	0.88	0.88	0.370616113744	refaln	prk	fubar
0	0.57	0.118666666667	0.00983606557377	0.881333333333	0.881333333333	0.370616113744	refaln	prk	fubar
0	0.58	0.116	0.00983606557377	0.884	0.884	0.368720379147	refaln	prk	fubar
0	0.59	0.116	0.00983606557377	0.884	0.884	0.368720379147	refaln	prk	fubar
0	0.6	0.113333333333	0.00983606557377	0.886666666667	0.886666666667	0.36682464455	refaln	prk	fubar
0	0.61	0.110666666667	0.00983606557377	0.889333333333	0.889333333333	0.364928909953	refaln	prk	fubar
0	0.62	0.110666666667	0.00983606557377	0.889333333333	0.889333333333	0.364928909953	refaln	prk	fubar
0	0.63	0.109333333333	0.00983606557377	0.890666666667	0.890666666667	0.363981042654	refaln	prk	fubar
0	0.64	0.108	0.00983606557377	0.892	0.892	0.363033175355	refaln	prk	fubar
0	0.65	0.108	0.00983606557377	0.892	0.892	0.363033175355	refaln	prk	fubar
0	0.66	0.106666666667	0.00983606557377	0.893333333333	0.893333333333	0.362085308057	refaln	prk	fubar
0	0.67	0.105333333333	0.00983606557377	0.894666666667	0.894666666667	0.361137440758	refaln	prk	fubar
0	0.68	0.104	0.00983606557377	0.896	0.896	0.36018957346	refaln	prk	fubar
0	0.69	0.102666666667	0.00983606557377	0.897333333333	0.897333333333	0.359241706161	refaln	prk	fubar
0	0.7	0.1	0.00655737704918	0.9	0.9	0.358293838863	refaln	prk	fubar
0	0.71	0.0986666666667	0.00655737704918	0.901333333333	0.901333333333	0.357345971564	refaln	prk	fubar
0	0.72	0.0986666666667	0.00655737704918	0.901333333333	0.901333333333	0.357345971564	refaln	prk	fubar
0	0.73	0.0973333333333	0.00655737704918	0.902666666667	0.902666666667	0.356398104265	refaln	prk	fubar
0	0.74	0.0946666666667	0.00655737704918	0.905333333333	0.905333333333	0.354502369668	refaln	prk	fubar
0	0.75	0.0906666666667	0.00655737704918	0.909333333333	0.909333333333	0.351658767773	refaln	prk	fubar
0	0.76	0.0893333333333	0.00655737704918	0.910666666667	0.910666666667	0.350710900474	refaln	prk	fubar
0	0.77	0.0866666666667	0.00655737704918	0.913333333333	0.913333333333	0.348815165877	refaln	prk	fubar
0	0.78	0.0853333333333	0.00655737704918	0.914666666667	0.914666666667	0.347867298578	refaln	prk	fubar
0	0.79	0.0853333333333	0.00655737704918	0.914666666667	0.914666666667	0.347867298578	refaln	prk	fubar
0	0.8	0.0826666666667	0.00655737704918	0.917333333333	0.917333333333	0.345971563981	refaln	prk	fubar
0	0.81	0.08	0.00655737704918	0.92	0.92	0.344075829384	refaln	prk	fubar
0	0.82	0.0773333333333	0.00655737704918	0.922666666667	0.922666666667	0.342180094787	refaln	prk	fubar
0	0.83	0.0746666666667	0.00655737704918	0.925333333333	0.925333333333	0.34028436019	refaln	prk	fubar
0	0.84	0.0746666666667	0.00655737704918	0.925333333333	0.925333333333	0.34028436019	refaln	prk	fubar
0	0.85	0.0746666666667	0.00655737704918	0.925333333333	0.925333333333	0.34028436019	refaln	prk	fubar
0	0.86	0.0733333333333	0.00655737704918	0.926666666667	0.926666666667	0.339336492891	refaln	prk	fubar
0	0.87	0.0706666666667	0.00655737704918	0.929333333333	0.929333333333	0.337440758294	refaln	prk	fubar
0	0.88	0.0693333333333	0.00655737704918	0.930666666667	0.930666666667	0.336492890995	refaln	prk	fubar
0	0.89	0.0693333333333	0.00655737704918	0.930666666667	0.930666666667	0.336492890995	refaln	prk	fubar
0	0.9	0.0653333333333	0.00655737704918	0.934666666667	0.934666666667	0.3336492891	refaln	prk	fubar
0	0.91	0.064	0.00655737704918	0.936	0.936	0.332701421801	refaln	prk	fubar
0	0.92	0.0613333333333	0.00655737704918	0.938666666667	0.938666666667	0.330805687204	refaln	prk	fubar
0	0.93	0.0573333333333	0.00327868852459	0.942666666667	0.942666666667	0.328909952607	refaln	prk	fubar
0	0.94	0.056	0.00327868852459	0.944	0.944	0.327962085308	refaln	prk	fubar
0	0.95	0.0546666666667	0.00327868852459	0.945333333333	0.945333333333	0.327014218009	refaln	prk	fubar
0	0.96	0.048	0.00327868852459	0.952	0.952	0.322274881517	refaln	prk	fubar
0	0.97	0.0413333333333	0.00327868852459	0.958666666667	0.958666666667	0.317535545024	refaln	prk	fubar
0	0.98	0.036	0.00327868852459	0.964	0.964	0.313744075829	refaln	prk	fubar
0	0.99	0.0333333333333	0.0	0.966666666667	0.966666666667	0.312796208531	refaln	prk	fubar
0	1.0	0.012	0.0	0.988	0.988	0.297630331754	refaln	prk	fubar
0	0.0	1.0	1.0	0.0	0.0	0.710900473934	GuidanceP	prk	fubar
0	0.01	0.992	0.298360655738	0.008	0.008	0.908056872038	GuidanceP	prk	fubar
0	0.02	0.986666666667	0.216393442623	0.0133333333333	0.0133333333333	0.927962085308	GuidanceP	prk	fubar
0	0.03	0.984	0.177049180328	0.016	0.016	0.937440758294	GuidanceP	prk	fubar
0	0.04	0.984	0.150819672131	0.016	0.016	0.945023696682	GuidanceP	prk	fubar
0	0.05	0.984	0.134426229508	0.016	0.016	0.949763033175	GuidanceP	prk	fubar
0	0.06	0.981333333333	0.111475409836	0.0186666666667	0.0186666666667	0.954502369668	GuidanceP	prk	fubar
0	0.07	0.981333333333	0.104918032787	0.0186666666667	0.0186666666667	0.956398104265	GuidanceP	prk	fubar
0	0.08	0.98	0.0918032786885	0.02	0.02	0.959241706161	GuidanceP	prk	fubar
0	0.09	0.978666666667	0.0885245901639	0.0213333333333	0.0213333333333	0.959241706161	GuidanceP	prk	fubar
0	0.1	0.977333333333	0.0786885245902	0.0226666666667	0.0226666666667	0.961137440758	GuidanceP	prk	fubar
0	0.11	0.977333333333	0.0754098360656	0.0226666666667	0.0226666666667	0.962085308057	GuidanceP	prk	fubar
0	0.12	0.977333333333	0.0754098360656	0.0226666666667	0.0226666666667	0.962085308057	GuidanceP	prk	fubar
0	0.13	0.974666666667	0.0754098360656	0.0253333333333	0.0253333333333	0.96018957346	GuidanceP	prk	fubar
0	0.14	0.974666666667	0.0754098360656	0.0253333333333	0.0253333333333	0.96018957346	GuidanceP	prk	fubar
0	0.15	0.973333333333	0.072131147541	0.0266666666667	0.0266666666667	0.96018957346	GuidanceP	prk	fubar
0	0.16	0.970666666667	0.072131147541	0.0293333333333	0.0293333333333	0.958293838863	GuidanceP	prk	fubar
0	0.17	0.970666666667	0.0655737704918	0.0293333333333	0.0293333333333	0.96018957346	GuidanceP	prk	fubar
0	0.18	0.088	0.0655737704918	0.912	0.912	0.332701421801	GuidanceP	prk	fubar
0	0.19	0.0866666666667	0.055737704918	0.913333333333	0.913333333333	0.334597156398	GuidanceP	prk	fubar
0	0.2	0.0853333333333	0.0491803278689	0.914666666667	0.914666666667	0.335545023697	GuidanceP	prk	fubar
0	0.21	0.0853333333333	0.0491803278689	0.914666666667	0.914666666667	0.335545023697	GuidanceP	prk	fubar
0	0.22	0.0853333333333	0.0491803278689	0.914666666667	0.914666666667	0.335545023697	GuidanceP	prk	fubar
0	0.23	0.084	0.0459016393443	0.916	0.916	0.335545023697	GuidanceP	prk	fubar
0	0.24	0.0826666666667	0.0459016393443	0.917333333333	0.917333333333	0.334597156398	GuidanceP	prk	fubar
0	0.25	0.0826666666667	0.0459016393443	0.917333333333	0.917333333333	0.334597156398	GuidanceP	prk	fubar
0	0.26	0.076	0.0459016393443	0.924	0.924	0.329857819905	GuidanceP	prk	fubar
0	0.27	0.0746666666667	0.0426229508197	0.925333333333	0.925333333333	0.329857819905	GuidanceP	prk	fubar
0	0.28	0.0733333333333	0.0393442622951	0.926666666667	0.926666666667	0.329857819905	GuidanceP	prk	fubar
0	0.29	0.072	0.0393442622951	0.928	0.928	0.328909952607	GuidanceP	prk	fubar
0	0.3	0.072	0.0393442622951	0.928	0.928	0.328909952607	GuidanceP	prk	fubar
0	0.31	0.072	0.0327868852459	0.928	0.928	0.330805687204	GuidanceP	prk	fubar
0	0.32	0.072	0.0327868852459	0.928	0.928	0.330805687204	GuidanceP	prk	fubar
0	0.33	0.0706666666667	0.0295081967213	0.929333333333	0.929333333333	0.330805687204	GuidanceP	prk	fubar
0	0.34	0.0706666666667	0.0295081967213	0.929333333333	0.929333333333	0.330805687204	GuidanceP	prk	fubar
0	0.35	0.0693333333333	0.0295081967213	0.930666666667	0.930666666667	0.329857819905	GuidanceP	prk	fubar
0	0.36	0.0693333333333	0.0295081967213	0.930666666667	0.930666666667	0.329857819905	GuidanceP	prk	fubar
0	0.37	0.0693333333333	0.0262295081967	0.930666666667	0.930666666667	0.330805687204	GuidanceP	prk	fubar
0	0.38	0.0693333333333	0.0229508196721	0.930666666667	0.930666666667	0.331753554502	GuidanceP	prk	fubar
0	0.39	0.068	0.0229508196721	0.932	0.932	0.330805687204	GuidanceP	prk	fubar
0	0.4	0.068	0.0196721311475	0.932	0.932	0.331753554502	GuidanceP	prk	fubar
0	0.41	0.0666666666667	0.0196721311475	0.933333333333	0.933333333333	0.330805687204	GuidanceP	prk	fubar
0	0.42	0.0666666666667	0.016393442623	0.933333333333	0.933333333333	0.331753554502	GuidanceP	prk	fubar
0	0.43	0.0666666666667	0.016393442623	0.933333333333	0.933333333333	0.331753554502	GuidanceP	prk	fubar
0	0.44	0.0666666666667	0.016393442623	0.933333333333	0.933333333333	0.331753554502	GuidanceP	prk	fubar
0	0.45	0.0666666666667	0.016393442623	0.933333333333	0.933333333333	0.331753554502	GuidanceP	prk	fubar
0	0.46	0.0666666666667	0.016393442623	0.933333333333	0.933333333333	0.331753554502	GuidanceP	prk	fubar
0	0.47	0.0666666666667	0.016393442623	0.933333333333	0.933333333333	0.331753554502	GuidanceP	prk	fubar
0	0.48	0.0653333333333	0.0131147540984	0.934666666667	0.934666666667	0.331753554502	GuidanceP	prk	fubar
0	0.49	0.0653333333333	0.0131147540984	0.934666666667	0.934666666667	0.331753554502	GuidanceP	prk	fubar
0	0.5	0.0626666666667	0.0131147540984	0.937333333333	0.937333333333	0.329857819905	GuidanceP	prk	fubar
0	0.51	0.0613333333333	0.0131147540984	0.938666666667	0.938666666667	0.328909952607	GuidanceP	prk	fubar
0	0.52	0.0613333333333	0.0131147540984	0.938666666667	0.938666666667	0.328909952607	GuidanceP	prk	fubar
0	0.53	0.0613333333333	0.0131147540984	0.938666666667	0.938666666667	0.328909952607	GuidanceP	prk	fubar
