count	tprate	fprate	fnrate	accuracy	case	gene	mask	method	penal	num_masked	ave_masked	perc_masked	prior	omega
0	0.0333333333333	0.0	0.966666666667	0.932400932401	truealn	or5	true	fubar	true	0	0	0	0	0
0	0.0333333333333	0.0	0.966666666667	0.932400932401	refaln	or5	zero	fubar	zero	0	0	0	0.08117881914	6.98498838316
0	0.0333333333333	0.0	0.966666666667	0.932400932401	Guidance	or5	ninety	fubar	no	73	6.63636363636	0.0160863816659	0	0
0	0.0333333333333	0.0	0.966666666667	0.932400932401	GuidanceP	or5	ninety	fubar	yes	246	22.3636363636	0.0542089026003	0	0
0	0.0333333333333	0.0	0.966666666667	0.932400932401	Guidance	or5	thirty	fubar	no	53	4.81818181818	0.0116791538123	0	0
0	0.0333333333333	0.0	0.966666666667	0.932400932401	GuidanceP	or5	thirty	fubar	yes	97	8.81818181818	0.0213750550903	0	0
0	0.0333333333333	0.0	0.966666666667	0.932400932401	Guidance	or5	fifty	fubar	no	55	5.0	0.0121198765976	0.08926193405	6.63079731521
0	0.0333333333333	0.0	0.966666666667	0.932400932401	GuidanceP	or5	fifty	fubar	yes	103	9.36363636364	0.0226972234465	0.08534845619	6.86154449605
0	0.0333333333333	0.0	0.966666666667	0.932400932401	Guidance	or5	seventy	fubar	no	58	5.27272727273	0.0127809607757	0	0
0	0.0333333333333	0.0	0.966666666667	0.932400932401	GuidanceP	or5	seventy	fubar	yes	116	10.5454545455	0.0255619215513	0	0
0	0.0333333333333	0.0	0.966666666667	0.932400932401	BMweights	or5	fifty	fubar	no	55	5.0	0.0121198765976	0.08766369625	6.9628072656
0	0.0333333333333	0.0	0.966666666667	0.932400932401	PDweights	or5	fifty	fubar	no	58	5.27272727273	0.0127809607757	0.08634975643	6.93610993404
0	0.0333333333333	0.0	0.966666666667	0.932400932401	BMweightsP	or5	fifty	fubar	yes	103	9.36363636364	0.0226972234465	0.08662905466	6.80681092427
0	0.0333333333333	0.0	0.966666666667	0.932400932401	PDweightsP	or5	fifty	fubar	yes	107	9.72727272727	0.0235786690172	0.08539332497	6.8478990761
1	0.136363636364	0.0	0.863636363636	0.958424507659	truealn	or5	true	fubar	true	0	0	0	0	0
1	0.136363636364	0.0	0.863636363636	0.958424507659	refaln	or5	zero	fubar	zero	0	0	0	0.0970705303	6.87398459933
1	0.0909090909091	0.0	0.909090909091	0.956236323851	Guidance	or5	ninety	fubar	no	72	6.54545454545	0.0156487720061	0	0
1	0.0909090909091	0.0	0.909090909091	0.956236323851	GuidanceP	or5	ninety	fubar	yes	580	52.7272727273	0.126059552271	0	0
1	0.136363636364	0.0	0.863636363636	0.958424507659	Guidance	or5	thirty	fubar	no	62	5.63636363636	0.0134753314497	0	0
1	0.136363636364	0.0	0.863636363636	0.958424507659	GuidanceP	or5	thirty	fubar	yes	80	7.27272727273	0.0173875244512	0	0
1	0.136363636364	0.0	0.863636363636	0.958424507659	Guidance	or5	fifty	fubar	no	64	5.81818181818	0.013910019561	0.09546374594	6.8619140021
1	0.136363636364	0.0	0.863636363636	0.958424507659	GuidanceP	or5	fifty	fubar	yes	94	8.54545454545	0.0204303412302	0.09522412068	6.84049448032
1	0.136363636364	0.0	0.863636363636	0.958424507659	Guidance	or5	seventy	fubar	no	64	5.81818181818	0.013910019561	0	0
1	0.136363636364	0.0	0.863636363636	0.958424507659	GuidanceP	or5	seventy	fubar	yes	136	12.3636363636	0.0295587915671	0	0
1	0.136363636364	0.0	0.863636363636	0.958424507659	BMweights	or5	fifty	fubar	no	64	5.81818181818	0.013910019561	0.0956326589	6.99394280714
1	0.136363636364	0.0	0.863636363636	0.958424507659	PDweights	or5	fifty	fubar	no	64	5.81818181818	0.013910019561	0.097507342	6.52539651746
1	0.136363636364	0.0	0.863636363636	0.958424507659	BMweightsP	or5	fifty	fubar	yes	94	8.54545454545	0.0204303412302	0.0922952701	6.90487059322
