count	tprate	fprate		fnrate	accuracy	case	gene	mask	method	penal	num_masked	ave_masked	perc_masked	prior	omega
3	0.103092783505	0.0	0.896907216495	0.788321167883	PDweights	or5	fifty	fubar	no	21	1.90909090909	0.0049008168028	0.14950294075	5.73128679116
3	0.103092783505	0.0	0.896907216495	0.788321167883	BMweightsP	or5	fifty	fubar	yes	62	5.63636363636	0.0144690781797	0.14906163109	6.09136566779
3	0.103092783505	0.0	0.896907216495	0.788321167883	PDweightsP	or5	fifty	fubar	yes	92	8.36363636364	0.0214702450408	0.15024332815	5.80958904901
4	0.0757575757576	0.0	0.924242424242	0.722095671982	truealn	or5	true	fubar	true	0	0	0	0
4	0.046875	0.003367003367	0.953125	0.710588235294	refaln	or5	zero	fubar	zero	0	0	0	0.17734150797	4.78058002838
4	0.046875	0.003367003367	0.953125	0.710588235294	Guidance	or5	ninety	fubar	no	42	3.81818181818	0.00949581731856	0	0
4	0.046875	0.003367003367	0.953125	0.710588235294	GuidanceP	or5	ninety	fubar	yes	46	4.18181818182	0.0104001808727	0	0
4	0.046875	0.003367003367	0.953125	0.710588235294	Guidance	or5	thirty	fubar	no	42	3.81818181818	0.00949581731856	0	0
4	0.046875	0.003367003367	0.953125	0.710588235294	GuidanceP	or5	thirty	fubar	yes	46	4.18181818182	0.0104001808727	0	0
4	0.046875	0.003367003367	0.953125	0.710588235294	Guidance	or5	fifty	fubar	no	42	3.81818181818	0.00949581731856	0.1769301931	5.04458040788
4	0.046875	0.003367003367	0.953125	0.710588235294	GuidanceP	or5	fifty	fubar	yes	46	4.18181818182	0.0104001808727	0.17518168877	5.13354724192
4	0.046875	0.003367003367	0.953125	0.710588235294	Guidance	or5	seventy	fubar	no	42	3.81818181818	0.00949581731856	0	0
4	0.046875	0.003367003367	0.953125	0.710588235294	GuidanceP	or5	seventy	fubar	yes	46	4.18181818182	0.0104001808727	0	0
4	0.046875	0.003367003367	0.953125	0.710588235294	BMweights	or5	fifty	fubar	no	42	3.81818181818	0.00949581731856	0.17389146961	4.98941540829
4	0.046875	0.003367003367	0.953125	0.710588235294	PDweights	or5	fifty	fubar	no	42	3.81818181818	0.00949581731856	0.1690214291	5.27339053013
4	0.046875	0.003367003367	0.953125	0.710588235294	BMweightsP	or5	fifty	fubar	yes	46	4.18181818182	0.0104001808727	0.18396401161	4.76593152389
4	0.046875	0.003367003367	0.953125	0.710588235294	PDweightsP	or5	fifty	fubar	yes	52	4.72727272727	0.0117567262039	0.17221899483	5.0806852958
5	0.099173553719	0.0	0.900826446281	0.742924528302	truealn	or5	true	fubar	true	0	0	0	0
5	0.0847457627119	0.0	0.915254237288	0.730673316708	refaln	or5	zero	fubar	zero	0	0	0	0.1781887386	5.23684419599
5	0.0847457627119	0.0	0.915254237288	0.730673316708	Guidance	or5	ninety	fubar	no	27	2.45454545455	0.00625144709423	0	0
5	0.0847457627119	0.0	0.915254237288	0.730673316708	GuidanceP	or5	ninety	fubar	yes	82	7.45454545455	0.0189858763603	0	0
5	0.0847457627119	0.0	0.915254237288	0.730673316708	Guidance	or5	thirty	fubar	no	27	2.45454545455	0.00625144709423	0	0
5	0.0847457627119	0.0	0.915254237288	0.730673316708	GuidanceP	or5	thirty	fubar	yes	82	7.45454545455	0.0189858763603	0	0
5	0.0847457627119	0.0	0.915254237288	0.730673316708	Guidance	or5	fifty	fubar	no	27	2.45454545455	0.00625144709423	0.16574733231	5.10476855143
5	0.0847457627119	0.0	0.915254237288	0.730673316708	GuidanceP	or5	fifty	fubar	yes	82	7.45454545455	0.0189858763603	0.16609909908	5.44660503037
5	0.0847457627119	0.0	0.915254237288	0.730673316708	Guidance	or5	seventy	fubar	no	27	2.45454545455	0.00625144709423	0	0
5	0.0847457627119	0.0	0.915254237288	0.730673316708	GuidanceP	or5	seventy	fubar	yes	82	7.45454545455	0.0189858763603	0	0
5	0.0847457627119	0.0	0.915254237288	0.730673316708	BMweights	or5	fifty	fubar	no	17	1.54545454545	0.00393609631859	0.17313691866	5.03024632463
5	0.0932203389831	0.0	0.906779661017	0.733167082294	PDweights	or5	fifty	fubar	no	60	5.45454545455	0.0138921046539	0.16472168482	5.47752672721
5	0.0847457627119	0.0	0.915254237288	0.730673316708	BMweightsP	or5	fifty	fubar	yes	71	6.45454545455	0.0164389905071	0.16534261152	5.20662759562
5	0.0932203389831	0.0	0.906779661017	0.733167082294	PDweightsP	or5	fifty	fubar	yes	137	12.4545454545	0.0317203056263	0.16209635084	5.28636934875
6	0.0220588235294	0.0	0.977941176471	0.726899383984	truealn	or5	true	fubar	true	0	0	0	0
6	0.0165289256198	0.0	0.98347107438	0.718676122931	refaln	or5	zero	fubar	zero	0	0	0	0.13982731994	5.27069459137
6	0.0165289256198	0.0	0.98347107438	0.718676122931	Guidance	or5	ninety	fubar	no	73	6.63636363636	0.0168396770473	0	0
6	0.0165289256198	0.0	0.98347107438	0.718676122931	GuidanceP	or5	ninety	fubar	yes	161	14.6363636364	0.037139561707	0	0
6	0.0165289256198	0.0	0.98347107438	0.718676122931	Guidance	or5	thirty	fubar	no	73	6.63636363636	0.0168396770473	0	0
6	0.0165289256198	0.0	0.98347107438	0.718676122931	GuidanceP	or5	thirty	fubar	yes	161	14.6363636364	0.037139561707	0	0
6	0.0165289256198	0.0	0.98347107438	0.718676122931	Guidance	or5	fifty	fubar	no	73	6.63636363636	0.0168396770473	0.14751406153	4.87867291948
6	0.0165289256198	0.0	0.98347107438	0.718676122931	GuidanceP	or5	fifty	fubar	yes	161	14.6363636364	0.037139561707	0.14193563016	4.98128452483
6	0.0165289256198	0.0	0.98347107438	0.718676122931	Guidance	or5	seventy	fubar	no	73	6.63636363636	0.0168396770473	0	0
6	0.0165289256198	0.0	0.98347107438	0.718676122931	GuidanceP	or5	seventy	fubar	yes	161	14.6363636364	0.037139561707	0	0
6	0.0165289256198	0.0	0.98347107438	0.718676122931	BMweights	or5	fifty	fubar	no	73	6.63636363636	0.0168396770473	0.1392464658	5.19681359903
6	0.0165289256198	0.0	0.98347107438	0.718676122931	PDweights	or5	fifty	fubar	no	73	6.63636363636	0.0168396770473	0.14103830226	4.95266214863
6	0.0165289256198	0.0	0.98347107438	0.718676122931	BMweightsP	or5	fifty	fubar	yes	161	14.6363636364	0.037139561707	0.15164103048	4.8963526021
6	0.0165289256198	0.0	0.98347107438	0.718676122931	PDweightsP	or5	fifty	fubar	yes	189	17.1818181818	0.043598615917	0.14123065291	5.10159596922
7	0.0787401574803	0.0	0.92125984252	0.748927038627	truealn	or5	true	fubar	true	0	0	0	0
7	0.0847457627119	0.0	0.915254237288	0.746478873239	refaln	or5	zero	fubar	zero	0	0	0	0.17001700476	5.37366231886
